Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;1;0,00000041;
январь 2018;1;0,00000041;
февраль 2018;0;0;
март 2018;2;0,00000092;
апрель 2018;3;0,00000130;
май 2018;0;0;
июнь 2018;3;0,00000117;
июль 2018;2;0,00000079;
август 2018;1;0,00000039;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;3;0,00000110;
январь 2019;1;0,00000038;
февраль 2019;1;0,00000037;
март 2019;8;0,00000309;
апрель 2019;2;0,00000079;
май 2019;2;0,00000081;
июнь 2019;2;0,00000073;
июль 2019;0;0;
август 2019;3;0,00000110;
сентябрь 2019;1;0,00000035;
октябрь 2019;0;0;
ноябрь 2019;5;0,00000167;
декабрь 2019;1;0,00000032;
январь 2020;2;0,00000066;
февраль 2020;2;0,00000063;
март 2020;10;0,00000258;
апрель 2020;3;0,00000084;
май 2020;1;0,00000032;
июнь 2020;2;0,00000063;
июль 2020;15;0,00000461;
август 2020;1;0,00000029;
сентябрь 2020;3;0,00000082;
октябрь 2020;2;0,00000053;
ноябрь 2020;6;0,00000169;
декабрь 2020;1;0,00000028;
январь 2021;1;0,00000029;
февраль 2021;4;0,00000107;
март 2021;5;0,00000141;
апрель 2021;6;0,00000184;
май 2021;5;0,00000141;
июнь 2021;0;0;
июль 2021;5;0,00000121;
август 2021;4;0,00000111;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;3;0,00000081;
декабрь 2021;2;0,00000053;
январь 2022;4;0,00000111;
февраль 2022;13;0,00000322;
март 2022;2;0,00000053;
апрель 2022;7;0,00000184;
май 2022;8;0,00000215;
июнь 2022;8;0,00000200;
июль 2022;8;0,00000195;
август 2022;5;0,00000123;
сентябрь 2022;5;0,00000121;
октябрь 2022;19;0,00000463;
ноябрь 2022;3;0,00000072;
декабрь 2022;6;0,00000145;
январь 2023;6;0,00000155;
февраль 2023;4;0,00000096;
март 2023;11;0,00000278;
апрель 2023;8;0,00000206;
май 2023;0;0;
июнь 2023;2;0,00000049;
июль 2023;7;0,00000169;
август 2023;5;0,00000127;
сентябрь 2023;17;0,00000423;
октябрь 2023;5;0,00000124;
ноябрь 2023;10;0,00000247;
декабрь 2023;5;0,00000121;
январь 2024;7;0,00000186;
февраль 2024;7;0,00000180;
март 2024;8;0,00000219;
апрель 2024;3;0,00000082;
май 2024;3;0,00000088;
июнь 2024;3;0,00000079;
июль 2024;12;0,00000310;
август 2024;11;0,00000293;
сентябрь 2024;11;0,00000280;
октябрь 2024;10;0,00000248;
ноябрь 2024;14;0,00000338;
декабрь 2024;10;0,00000240;
