Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;2;0,00000118;
апрель 2018;0;0;
май 2018;1;0,00000061;
июнь 2018;2;0,00000117;
июль 2018;1;0,00000058;
август 2018;1;0,00000052;
сентябрь 2018;3;0,00000134;
октябрь 2018;1;0,00000050;
ноябрь 2018;1;0,00000046;
декабрь 2018;0;0;
январь 2019;2;0,00000095;
февраль 2019;3;0,00000137;
март 2019;2;0,00000098;
апрель 2019;3;0,00000149;
май 2019;5;0,00000269;
июнь 2019;3;0,00000157;
июль 2019;3;0,00000158;
август 2019;0;0;
сентябрь 2019;1;0,00000048;
октябрь 2019;2;0,00000096;
ноябрь 2019;1;0,00000046;
декабрь 2019;1;0,00000044;
январь 2020;4;0,00000183;
февраль 2020;4;0,00000177;
март 2020;0;0;
апрель 2020;1;0,00000036;
май 2020;0;0;
июнь 2020;1;0,00000049;
июль 2020;0;0;
август 2020;1;0,00000045;
сентябрь 2020;1;0,00000040;
октябрь 2020;4;0,00000155;
ноябрь 2020;1;0,00000039;
декабрь 2020;1;0,00000039;
январь 2021;0;0;
февраль 2021;5;0,00000192;
март 2021;1;0,00000039;
апрель 2021;2;0,00000079;
май 2021;3;0,00000119;
июнь 2021;2;0,00000082;
июль 2021;1;0,00000041;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;2;0,00000072;
ноябрь 2021;4;0,00000140;
декабрь 2021;1;0,00000034;
январь 2022;0;0;
февраль 2022;2;0,00000064;
март 2022;3;0,00000105;
апрель 2022;8;0,00000278;
май 2022;11;0,00000418;
июнь 2022;3;0,00000113;
июль 2022;1;0,00000037;
август 2022;11;0,00000386;
сентябрь 2022;3;0,00000098;
октябрь 2022;1;0,00000032;
ноябрь 2022;7;0,00000223;
декабрь 2022;6;0,00000193;
январь 2023;5;0,00000173;
февраль 2023;4;0,00000128;
март 2023;1;0,00000033;
апрель 2023;1;0,00000033;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;1;0,00000037;
август 2023;8;0,00000284;
сентябрь 2023;0;0;
октябрь 2023;3;0,00000098;
ноябрь 2023;1;0,00000032;
декабрь 2023;3;0,00000096;
январь 2024;1;0,00000034;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;1;0,00000036;
май 2024;1;0,00000040;
июнь 2024;7;0,00000282;
июль 2024;6;0,00000238;
август 2024;5;0,00000190;
сентябрь 2024;2;0,00000069;
октябрь 2024;6;0,00000198;
ноябрь 2024;2;0,00000064;
декабрь 2024;5;0,00000163;
