Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;5;0,00000114;
январь 2018;17;0,00000397;
февраль 2018;19;0,00000397;
март 2018;28;0,00000659;
апрель 2018;26;0,00000625;
май 2018;24;0,00000604;
июнь 2018;19;0,00000466;
июль 2018;16;0,00000390;
август 2018;14;0,00000299;
сентябрь 2018;13;0,00000240;
октябрь 2018;12;0,00000238;
ноябрь 2018;25;0,00000500;
декабрь 2018;17;0,00000324;
январь 2019;21;0,00000410;
февраль 2019;14;0,00000253;
март 2019;23;0,00000457;
апрель 2019;35;0,00000730;
май 2019;21;0,00000461;
июнь 2019;22;0,00000478;
июль 2019;19;0,00000416;
август 2019;10;0,00000205;
сентябрь 2019;19;0,00000351;
октябрь 2019;10;0,00000183;
ноябрь 2019;38;0,00000674;
декабрь 2019;17;0,00000296;
январь 2020;19;0,00000342;
февраль 2020;44;0,00000703;
март 2020;32;0,00000410;
апрель 2020;30;0,00000406;
май 2020;28;0,00000473;
июнь 2020;20;0,00000368;
июль 2020;30;0,00000562;
август 2020;19;0,00000325;
сентябрь 2020;23;0,00000344;
октябрь 2020;12;0,00000171;
ноябрь 2020;26;0,00000385;
декабрь 2020;15;0,00000233;
январь 2021;6;0,00000099;
февраль 2021;17;0,00000256;
март 2021;8;0,00000113;
апрель 2021;28;0,00000358;
май 2021;28;0,00000375;
июнь 2021;27;0,00000430;
июль 2021;30;0,00000463;
август 2021;27;0,00000343;
сентябрь 2021;18;0,00000215;
октябрь 2021;21;0,00000239;
ноябрь 2021;20;0,00000227;
декабрь 2021;24;0,00000265;
январь 2022;47;0,00000541;
февраль 2022;63;0,00000644;
март 2022;71;0,00000779;
апрель 2022;52;0,00000574;
май 2022;45;0,00000549;
июнь 2022;30;0,00000367;
июль 2022;24;0,00000290;
август 2022;40;0,00000439;
сентябрь 2022;55;0,00000586;
октябрь 2022;99;0,00001060;
ноябрь 2022;59;0,00000634;
декабрь 2022;16;0,00000173;
январь 2023;19;0,00000227;
февраль 2023;33;0,00000356;
март 2023;42;0,00000505;
апрель 2023;16;0,00000190;
май 2023;55;0,00000711;
июнь 2023;20;0,00000256;
июль 2023;17;0,00000222;
август 2023;19;0,00000240;
сентябрь 2023;21;0,00000244;
октябрь 2023;17;0,00000203;
ноябрь 2023;22;0,00000260;
декабрь 2023;16;0,00000182;
январь 2024;17;0,00000209;
февраль 2024;8;0,00000092;
март 2024;13;0,00000163;
апрель 2024;25;0,00000315;
май 2024;16;0,00000221;
июнь 2024;31;0,00000429;
июль 2024;32;0,00000442;
август 2024;40;0,00000532;
сентябрь 2024;34;0,00000416;
октябрь 2024;31;0,00000371;
ноябрь 2024;33;0,00000379;
декабрь 2024;40;0,00000453;
