Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;2;0,00000043;
январь 2018;7;0,00000145;
февраль 2018;9;0,00000176;
март 2018;7;0,00000149;
апрель 2018;6;0,00000131;
май 2018;11;0,00000254;
июнь 2018;5;0,00000118;
июль 2018;13;0,00000299;
август 2018;11;0,00000223;
сентябрь 2018;2;0,00000035;
октябрь 2018;4;0,00000077;
ноябрь 2018;7;0,00000135;
декабрь 2018;7;0,00000136;
январь 2019;10;0,00000198;
февраль 2019;10;0,00000186;
март 2019;9;0,00000178;
апрель 2019;6;0,00000122;
май 2019;13;0,00000298;
июнь 2019;10;0,00000226;
июль 2019;15;0,00000343;
август 2019;8;0,00000166;
сентябрь 2019;12;0,00000218;
октябрь 2019;13;0,00000239;
ноябрь 2019;5;0,00000090;
декабрь 2019;8;0,00000143;
январь 2020;7;0,00000126;
февраль 2020;13;0,00000226;
март 2020;8;0,00000125;
апрель 2020;11;0,00000188;
май 2020;5;0,00000097;
июнь 2020;16;0,00000318;
июль 2020;18;0,00000355;
август 2020;18;0,00000315;
сентябрь 2020;7;0,00000110;
октябрь 2020;12;0,00000179;
ноябрь 2020;18;0,00000277;
декабрь 2020;18;0,00000289;
январь 2021;8;0,00000135;
февраль 2021;8;0,00000119;
март 2021;3;0,00000046;
апрель 2021;4;0,00000070;
май 2021;5;0,00000089;
июнь 2021;14;0,00000239;
июль 2021;9;0,00000143;
август 2021;8;0,00000129;
сентябрь 2021;10;0,00000163;
октябрь 2021;4;0,00000063;
ноябрь 2021;7;0,00000107;
декабрь 2021;12;0,00000179;
январь 2022;2;0,00000029;
февраль 2022;28;0,00000386;
март 2022;22;0,00000328;
апрель 2022;31;0,00000441;
май 2022;30;0,00000476;
июнь 2022;24;0,00000418;
июль 2022;14;0,00000237;
август 2022;14;0,00000230;
сентябрь 2022;34;0,00000525;
октябрь 2022;33;0,00000481;
ноябрь 2022;30;0,00000468;
декабрь 2022;17;0,00000280;
январь 2023;6;0,00000105;
февраль 2023;23;0,00000358;
март 2023;30;0,00000502;
апрель 2023;13;0,00000222;
май 2023;10;0,00000191;
июнь 2023;15;0,00000300;
июль 2023;16;0,00000321;
август 2023;10;0,00000181;
сентябрь 2023;7;0,00000115;
октябрь 2023;9;0,00000150;
ноябрь 2023;4;0,00000066;
декабрь 2023;14;0,00000233;
январь 2024;6;0,00000104;
февраль 2024;9;0,00000151;
март 2024;16;0,00000279;
апрель 2024;13;0,00000238;
май 2024;9;0,00000187;
июнь 2024;13;0,00000274;
июль 2024;20;0,00000429;
август 2024;23;0,00000452;
сентябрь 2024;11;0,00000189;
октябрь 2024;9;0,00000148;
ноябрь 2024;27;0,00000435;
декабрь 2024;6;0,00000100;
