Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;0;0;
январь 2018;1;0,00000187;
февраль 2018;1;0,00000167;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;4;0,00000651;
сентябрь 2018;2;0,00000286;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;2;0,00000282;
январь 2019;6;0,00000872;
февраль 2019;4;0,00000526;
март 2019;1;0,00000143;
апрель 2019;1;0,00000138;
май 2019;1;0,00000144;
июнь 2019;2;0,00000277;
июль 2019;1;0,00000141;
август 2019;2;0,00000285;
сентябрь 2019;3;0,00000383;
октябрь 2019;1;0,00000127;
ноябрь 2019;1;0,00000122;
декабрь 2019;2;0,00000230;
январь 2020;2;0,00000249;
февраль 2020;1;0,00000110;
март 2020;2;0,00000167;
апрель 2020;6;0,00000529;
май 2020;1;0,00000101;
июнь 2020;0;0;
июль 2020;1;0,00000114;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;1;0,00000104;
декабрь 2020;2;0,00000208;
январь 2021;0;0;
февраль 2021;2;0,00000205;
март 2021;1;0,00000093;
апрель 2021;1;0,00000076;
май 2021;0;0;
июнь 2021;2;0,00000190;
июль 2021;3;0,00000277;
август 2021;2;0,00000160;
сентябрь 2021;2;0,00000146;
октябрь 2021;1;0,00000070;
ноябрь 2021;2;0,00000142;
декабрь 2021;0;0;
январь 2022;4;0,00000273;
февраль 2022;3;0,00000192;
март 2022;5;0,00000337;
апрель 2022;5;0,00000327;
май 2022;1;0,00000068;
июнь 2022;6;0,00000392;
июль 2022;14;0,00000929;
август 2022;2;0,00000131;
сентябрь 2022;3;0,00000187;
октябрь 2022;23;0,00001443;
ноябрь 2022;6;0,00000388;
декабрь 2022;2;0,00000126;
январь 2023;4;0,00000276;
февраль 2023;5;0,00000316;
март 2023;3;0,00000203;
апрель 2023;3;0,00000201;
май 2023;0;0;
июнь 2023;1;0,00000065;
июль 2023;3;0,00000199;
август 2023;2;0,00000137;
сентябрь 2023;2;0,00000129;
октябрь 2023;1;0,00000067;
ноябрь 2023;0;0;
декабрь 2023;3;0,00000193;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;3;0,00000208;
апрель 2024;2;0,00000139;
май 2024;5;0,00000361;
июнь 2024;1;0,00000068;
июль 2024;10;0,00000701;
август 2024;4;0,00000291;
сентябрь 2024;2;0,00000134;
октябрь 2024;5;0,00000328;
ноябрь 2024;6;0,00000379;
декабрь 2024;0;0;
