Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;0;0;
январь 2018;2;0,00000202;
февраль 2018;1;0,00000093;
март 2018;1;0,00000099;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;2;0,00000225;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;1;0,00000092;
ноябрь 2018;4;0,00000364;
декабрь 2018;4;0,00000362;
январь 2019;4;0,00000366;
февраль 2019;4;0,00000360;
март 2019;5;0,00000462;
апрель 2019;1;0,00000098;
май 2019;0;0;
июнь 2019;1;0,00000114;
июль 2019;2;0,00000225;
август 2019;3;0,00000306;
сентябрь 2019;2;0,00000179;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;2;0,00000162;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;3;0,00000198;
май 2020;2;0,00000166;
июнь 2020;1;0,00000092;
июль 2020;2;0,00000185;
август 2020;1;0,00000079;
сентябрь 2020;3;0,00000199;
октябрь 2020;1;0,00000059;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;3;0,00000219;
май 2021;2;0,00000154;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;1;0,00000066;
октябрь 2021;0;0;
ноябрь 2021;1;0,00000062;
декабрь 2021;0;0;
январь 2022;5;0,00000315;
февраль 2022;3;0,00000177;
март 2022;1;0,00000062;
апрель 2022;5;0,00000331;
май 2022;1;0,00000071;
июнь 2022;2;0,00000150;
июль 2022;2;0,00000148;
август 2022;2;0,00000132;
сентябрь 2022;0;0;
октябрь 2022;1;0,00000057;
ноябрь 2022;4;0,00000228;
декабрь 2022;0;0;
январь 2023;3;0,00000187;
февраль 2023;10;0,00000576;
март 2023;1;0,00000059;
апрель 2023;1;0,00000063;
май 2023;0;0;
июнь 2023;4;0,00000302;
июль 2023;3;0,00000225;
август 2023;2;0,00000138;
сентябрь 2023;2;0,00000123;
октябрь 2023;2;0,00000125;
ноябрь 2023;0;0;
декабрь 2023;3;0,00000183;
январь 2024;1;0,00000063;
февраль 2024;4;0,00000255;
март 2024;5;0,00000333;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;2;0,00000170;
июль 2024;2;0,00000166;
август 2024;5;0,00000379;
сентябрь 2024;5;0,00000322;
октябрь 2024;2;0,00000129;
ноябрь 2024;1;0,00000061;
декабрь 2024;0;0;
