Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;0;0;
январь 2018;2;0,00000247;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;1;0,00000120;
май 2018;2;0,00000287;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;2;0,00000223;
ноябрь 2018;2;0,00000224;
декабрь 2018;1;0,00000112;
январь 2019;1;0,00000114;
февраль 2019;5;0,00000555;
март 2019;0;0;
апрель 2019;4;0,00000493;
май 2019;1;0,00000136;
июнь 2019;0;0;
июль 2019;1;0,00000140;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,00000107;
ноябрь 2019;15;0,00001520;
декабрь 2019;0;0;
январь 2020;2;0,00000205;
февраль 2020;0;0;
март 2020;4;0,00000317;
апрель 2020;1;0,00000087;
май 2020;4;0,00000413;
июнь 2020;9;0,00000998;
июль 2020;3;0,00000336;
август 2020;4;0,00000385;
сентябрь 2020;2;0,00000165;
октябрь 2020;1;0,00000080;
ноябрь 2020;1;0,00000082;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;2;0,00000165;
март 2021;0;0;
апрель 2021;0;0;
май 2021;3;0,00000272;
июнь 2021;2;0,00000191;
июль 2021;5;0,00000465;
август 2021;5;0,00000436;
сентябрь 2021;3;0,00000234;
октябрь 2021;1;0,00000076;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;3;0,00000207;
март 2022;0;0;
апрель 2022;1;0,00000078;
май 2022;4;0,00000339;
июнь 2022;8;0,00000704;
июль 2022;2;0,00000175;
август 2022;3;0,00000237;
сентябрь 2022;1;0,00000071;
октябрь 2022;7;0,00000474;
ноябрь 2022;1;0,00000067;
декабрь 2022;0;0;
январь 2023;6;0,00000444;
февраль 2023;14;0,00000951;
март 2023;3;0,00000214;
апрель 2023;3;0,00000229;
май 2023;1;0,00000085;
июнь 2023;7;0,00000611;
июль 2023;1;0,00000086;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;5;0,00000355;
декабрь 2023;1;0,00000071;
январь 2024;0;0;
февраль 2024;1;0,00000074;
март 2024;2;0,00000160;
апрель 2024;3;0,00000247;
май 2024;1;0,00000095;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;1;0,00000089;
сентябрь 2024;2;0,00000155;
октябрь 2024;1;0,00000076;
ноябрь 2024;1;0,00000073;
декабрь 2024;7;0,00000524;
