Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;1;0,00000091;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,00000103;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;1;0,00000076;
октябрь 2018;0;0;
ноябрь 2018;4;0,00000353;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;1;0,00000085;
март 2019;2;0,00000176;
апрель 2019;1;0,00000097;
май 2019;1;0,00000105;
июнь 2019;3;0,00000321;
июль 2019;3;0,00000308;
август 2019;0;0;
сентябрь 2019;1;0,00000084;
октябрь 2019;0;0;
ноябрь 2019;1;0,00000082;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;1;0,00000092;
июль 2020;0;0;
август 2020;3;0,00000246;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000065;
ноябрь 2020;1;0,00000065;
декабрь 2020;2;0,00000147;
январь 2021;0;0;
февраль 2021;2;0,00000138;
март 2021;0;0;
апрель 2021;2;0,00000137;
май 2021;0;0;
июнь 2021;1;0,00000079;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;3;0,00000183;
октябрь 2021;2;0,00000119;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;4;0,00000226;
апрель 2022;1;0,00000058;
май 2022;12;0,00000774;
июнь 2022;5;0,00000353;
июль 2022;1;0,00000069;
август 2022;1;0,00000060;
сентябрь 2022;1;0,00000055;
октябрь 2022;0;0;
ноябрь 2022;2;0,00000108;
декабрь 2022;1;0,00000055;
январь 2023;0;0;
февраль 2023;8;0,00000436;
март 2023;0;0;
апрель 2023;4;0,00000244;
май 2023;5;0,00000333;
июнь 2023;2;0,00000140;
июль 2023;1;0,00000070;
август 2023;4;0,00000258;
сентябрь 2023;2;0,00000114;
октябрь 2023;0;0;
ноябрь 2023;1;0,00000056;
декабрь 2023;0;0;
январь 2024;1;0,00000060;
февраль 2024;2;0,00000119;
март 2024;2;0,00000123;
апрель 2024;1;0,00000063;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;2;0,00000151;
август 2024;4;0,00000279;
сентябрь 2024;1;0,00000060;
октябрь 2024;0;0;
ноябрь 2024;3;0,00000171;
декабрь 2024;0;0;
