Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;3;0,00000114;
январь 2018;1;0,00000037;
февраль 2018;2;0,00000069;
март 2018;4;0,00000150;
апрель 2018;2;0,00000078;
май 2018;4;0,00000173;
июнь 2018;1;0,00000044;
июль 2018;10;0,00000433;
август 2018;7;0,00000266;
сентябрь 2018;18;0,00000542;
октябрь 2018;9;0,00000297;
ноябрь 2018;13;0,00000419;
декабрь 2018;7;0,00000216;
январь 2019;1;0,00000032;
февраль 2019;5;0,00000154;
март 2019;2;0,00000064;
апрель 2019;5;0,00000167;
май 2019;6;0,00000218;
июнь 2019;4;0,00000149;
июль 2019;6;0,00000222;
август 2019;7;0,00000241;
сентябрь 2019;3;0,00000094;
октябрь 2019;8;0,00000249;
ноябрь 2019;4;0,00000122;
декабрь 2019;7;0,00000212;
январь 2020;9;0,00000279;
февраль 2020;1;0,00000028;
март 2020;6;0,00000140;
апрель 2020;6;0,00000167;
май 2020;6;0,00000198;
июнь 2020;7;0,00000246;
июль 2020;6;0,00000202;
август 2020;5;0,00000139;
сентябрь 2020;10;0,00000249;
октябрь 2020;2;0,00000045;
ноябрь 2020;7;0,00000165;
декабрь 2020;4;0,00000106;
январь 2021;4;0,00000113;
февраль 2021;4;0,00000109;
март 2021;2;0,00000057;
апрель 2021;8;0,00000255;
май 2021;2;0,00000065;
июнь 2021;5;0,00000156;
июль 2021;8;0,00000248;
август 2021;4;0,00000118;
сентябрь 2021;1;0,00000027;
октябрь 2021;3;0,00000078;
ноябрь 2021;4;0,00000107;
декабрь 2021;3;0,00000084;
январь 2022;13;0,00000360;
февраль 2022;6;0,00000156;
март 2022;26;0,00000714;
апрель 2022;16;0,00000440;
май 2022;5;0,00000150;
июнь 2022;7;0,00000223;
июль 2022;9;0,00000275;
август 2022;8;0,00000223;
сентябрь 2022;15;0,00000388;
октябрь 2022;18;0,00000457;
ноябрь 2022;18;0,00000450;
декабрь 2022;8;0,00000210;
январь 2023;9;0,00000257;
февраль 2023;21;0,00000547;
март 2023;12;0,00000331;
апрель 2023;2;0,00000057;
май 2023;1;0,00000031;
июнь 2023;8;0,00000261;
июль 2023;7;0,00000224;
август 2023;10;0,00000299;
сентябрь 2023;5;0,00000133;
октябрь 2023;1;0,00000027;
ноябрь 2023;2;0,00000052;
декабрь 2023;4;0,00000108;
январь 2024;5;0,00000142;
февраль 2024;6;0,00000164;
март 2024;6;0,00000173;
апрель 2024;9;0,00000264;
май 2024;18;0,00000609;
июнь 2024;5;0,00000172;
июль 2024;5;0,00000172;
август 2024;12;0,00000382;
сентябрь 2024;0;0;
октябрь 2024;9;0,00000243;
ноябрь 2024;13;0,00000339;
декабрь 2024;3;0,00000080;
