Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;0;0;
январь 2018;1;0,00000083;
февраль 2018;0;0;
март 2018;1;0,00000084;
апрель 2018;1;0,00000080;
май 2018;2;0,00000197;
июнь 2018;0;0;
июль 2018;3;0,00000280;
август 2018;2;0,00000161;
сентябрь 2018;3;0,00000210;
октябрь 2018;1;0,00000075;
ноябрь 2018;2;0,00000150;
декабрь 2018;1;0,00000075;
январь 2019;4;0,00000305;
февраль 2019;1;0,00000075;
март 2019;1;0,00000076;
апрель 2019;6;0,00000487;
май 2019;12;0,00001122;
июнь 2019;8;0,00000768;
июль 2019;4;0,00000370;
август 2019;4;0,00000334;
сентябрь 2019;6;0,00000431;
октябрь 2019;5;0,00000356;
ноябрь 2019;5;0,00000341;
декабрь 2019;4;0,00000269;
январь 2020;1;0,00000069;
февраль 2020;3;0,00000190;
март 2020;1;0,00000052;
апрель 2020;6;0,00000338;
май 2020;1;0,00000068;
июнь 2020;7;0,00000531;
июль 2020;5;0,00000382;
август 2020;2;0,00000131;
сентябрь 2020;2;0,00000106;
октябрь 2020;1;0,00000048;
ноябрь 2020;3;0,00000157;
декабрь 2020;0;0;
январь 2021;6;0,00000375;
февраль 2021;2;0,00000113;
март 2021;5;0,00000283;
апрель 2021;1;0,00000058;
май 2021;4;0,00000253;
июнь 2021;3;0,00000204;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;2;0,00000105;
октябрь 2021;10;0,00000518;
ноябрь 2021;2;0,00000099;
декабрь 2021;0;0;
январь 2022;2;0,00000101;
февраль 2022;14;0,00000653;
март 2022;3;0,00000147;
апрель 2022;17;0,00000902;
май 2022;12;0,00000700;
июнь 2022;6;0,00000367;
июль 2022;6;0,00000338;
август 2022;9;0,00000483;
сентябрь 2022;4;0,00000195;
октябрь 2022;14;0,00000659;
ноябрь 2022;18;0,00000841;
декабрь 2022;13;0,00000624;
январь 2023;6;0,00000310;
февраль 2023;6;0,00000278;
март 2023;6;0,00000280;
апрель 2023;6;0,00000296;
май 2023;2;0,00000115;
июнь 2023;5;0,00000306;
июль 2023;1;0,00000058;
август 2023;4;0,00000214;
сентябрь 2023;6;0,00000287;
октябрь 2023;2;0,00000096;
ноябрь 2023;6;0,00000280;
декабрь 2023;1;0,00000048;
январь 2024;1;0,00000051;
февраль 2024;2;0,00000097;
март 2024;5;0,00000253;
апрель 2024;3;0,00000163;
май 2024;0;0;
июнь 2024;1;0,00000068;
июль 2024;1;0,00000067;
август 2024;4;0,00000243;
сентябрь 2024;2;0,00000105;
октябрь 2024;9;0,00000466;
ноябрь 2024;4;0,00000199;
декабрь 2024;4;0,00000206;
