Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;38;0,0000030;
январь 2018;72;0,0000054;
февраль 2018;86;0,0000060;
март 2018;86;0,0000067;
апрель 2018;91;0,0000071;
май 2018;67;0,0000057;
июнь 2018;64;0,0000053;
июль 2018;80;0,0000067;
август 2018;76;0,0000055;
сентябрь 2018;71;0,0000044;
октябрь 2018;82;0,0000055;
ноябрь 2018;93;0,0000062;
декабрь 2018;110;0,0000073;
январь 2019;73;0,0000052;
февраль 2019;84;0,0000058;
март 2019;101;0,0000074;
апрель 2019;118;0,0000092;
май 2019;93;0,0000078;
июнь 2019;102;0,0000081;
июль 2019;81;0,0000068;
август 2019;81;0,0000061;
сентябрь 2019;81;0,0000054;
октябрь 2019;59;0,0000041;
ноябрь 2019;95;0,0000064;
декабрь 2019;77;0,0000051;
январь 2020;103;0,0000069;
февраль 2020;120;0,0000076;
март 2020;101;0,0000059;
апрель 2020;106;0,0000067;
май 2020;111;0,0000079;
июнь 2020;110;0,0000080;
июль 2020;121;0,0000090;
август 2020;86;0,0000055;
сентябрь 2020;101;0,0000058;
октябрь 2020;74;0,0000040;
ноябрь 2020;86;0,0000048;
декабрь 2020;80;0,0000049;
январь 2021;43;0,0000027;
февраль 2021;63;0,0000036;
март 2021;72;0,0000042;
апрель 2021;83;0,0000054;
май 2021;64;0,0000043;
июнь 2021;75;0,0000046;
июль 2021;55;0,0000032;
август 2021;83;0,0000048;
сентябрь 2021;48;0,0000028;
октябрь 2021;56;0,0000033;
ноябрь 2021;80;0,0000047;
декабрь 2021;63;0,0000036;
январь 2022;79;0,0000045;
февраль 2022;206;0,0000113;
март 2022;245;0,0000146;
апрель 2022;163;0,0000091;
май 2022;174;0,0000113;
июнь 2022;115;0,0000080;
июль 2022;96;0,0000062;
август 2022;137;0,0000079;
сентябрь 2022;122;0,0000073;
октябрь 2022;242;0,0000143;
ноябрь 2022;102;0,0000062;
декабрь 2022;87;0,0000056;
январь 2023;76;0,0000052;
февраль 2023;140;0,0000086;
март 2023;75;0,0000052;
апрель 2023;60;0,0000042;
май 2023;52;0,0000040;
июнь 2023;58;0,0000047;
июль 2023;68;0,0000055;
август 2023;59;0,0000043;
сентябрь 2023;64;0,0000040;
октябрь 2023;65;0,0000043;
ноябрь 2023;54;0,0000035;
декабрь 2023;46;0,0000028;
январь 2024;47;0,0000033;
февраль 2024;39;0,0000026;
март 2024;37;0,0000026;
апрель 2024;41;0,0000029;
май 2024;49;0,0000041;
июнь 2024;32;0,0000028;
июль 2024;111;0,0000098;
август 2024;83;0,0000066;
сентябрь 2024;92;0,0000064;
октябрь 2024;63;0,0000041;
ноябрь 2024;73;0,0000047;
декабрь 2024;82;0,0000056;
