Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;268;0,00102;
январь 2018;284;0,00111;
февраль 2018;288;0,00103;
март 2018;343;0,00135;
апрель 2018;424;0,00173;
май 2018;387;0,00166;
июнь 2018;350;0,00149;
июль 2018;432;0,00181;
август 2018;553;0,00207;
сентябрь 2018;506;0,00164;
октябрь 2018;458;0,00161;
ноябрь 2018;639;0,00230;
декабрь 2018;472;0,00163;
январь 2019;554;0,00206;
февраль 2019;558;0,00192;
март 2019;457;0,00168;
апрель 2019;370;0,00145;
май 2019;566;0,00239;
июнь 2019;430;0,00176;
июль 2019;421;0,00175;
август 2019;449;0,00178;
сентябрь 2019;462;0,00159;
октябрь 2019;398;0,00135;
ноябрь 2019;504;0,00164;
декабрь 2019;439;0,00140;
январь 2020;403;0,00134;
февраль 2020;396;0,00121;
март 2020;375;0,00082;
апрель 2020;547;0,00137;
май 2020;394;0,00129;
июнь 2020;377;0,00131;
июль 2020;380;0,00134;
август 2020;338;0,00108;
сентябрь 2020;352;0,00098;
октябрь 2020;436;0,00117;
ноябрь 2020;329;0,00090;
декабрь 2020;307;0,00087;
январь 2021;362;0,00106;
февраль 2021;433;0,00116;
март 2021;431;0,00113;
апрель 2021;392;0,00104;
май 2021;434;0,00123;
июнь 2021;342;0,00102;
июль 2021;367;0,00106;
август 2021;318;0,00084;
сентябрь 2021;360;0,00087;
октябрь 2021;384;0,00090;
ноябрь 2021;452;0,00103;
декабрь 2021;346;0,00079;
январь 2022;531;0,00125;
февраль 2022;1 123;0,00241;
март 2022;1 116;0,00253;
апрель 2022;1 037;0,00233;
май 2022;1 092;0,00280;
июнь 2022;885;0,00228;
июль 2022;780;0,00200;
август 2022;834;0,00194;
сентябрь 2022;805;0,00173;
октябрь 2022;613;0,00132;
ноябрь 2022;649;0,00140;
декабрь 2022;557;0,00120;
январь 2023;644;0,00152;
февраль 2023;760;0,00163;
март 2023;467;0,00109;
апрель 2023;507;0,00119;
май 2023;414;0,00107;
июнь 2023;495;0,00127;
июль 2023;370;0,00098;
август 2023;379;0,00096;
сентябрь 2023;406;0,00091;
октябрь 2023;368;0,00084;
ноябрь 2023;369;0,00084;
декабрь 2023;317;0,00070;
январь 2024;374;0,00090;
февраль 2024;455;0,00107;
март 2024;381;0,00094;
апрель 2024;343;0,00087;
май 2024;315;0,00090;
июнь 2024;342;0,00097;
июль 2024;364;0,00104;
август 2024;346;0,00094;
сентябрь 2024;281;0,00067;
октябрь 2024;266;0,00062;
ноябрь 2024;283;0,00065;
декабрь 2024;222;0,00050;
