Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;240;0,00118;
январь 2018;274;0,00139;
февраль 2018;337;0,00157;
март 2018;312;0,00158;
апрель 2018;279;0,00146;
май 2018;357;0,00201;
июнь 2018;328;0,00192;
июль 2018;320;0,00186;
август 2018;279;0,00139;
сентябрь 2018;303;0,00129;
октябрь 2018;304;0,00141;
ноябрь 2018;292;0,00132;
декабрь 2018;293;0,00133;
январь 2019;364;0,00175;
февраль 2019;443;0,00197;
март 2019;338;0,00160;
апрель 2019;326;0,00167;
май 2019;329;0,00185;
июнь 2019;262;0,00148;
июль 2019;258;0,00145;
август 2019;320;0,00168;
сентябрь 2019;322;0,00141;
октябрь 2019;268;0,00117;
ноябрь 2019;371;0,00151;
декабрь 2019;342;0,00133;
январь 2020;314;0,00127;
февраль 2020;330;0,00123;
март 2020;331;0,00090;
апрель 2020;346;0,00112;
май 2020;222;0,00086;
июнь 2020;244;0,00109;
июль 2020;273;0,00121;
август 2020;266;0,00102;
сентябрь 2020;270;0,00088;
октябрь 2020;264;0,00077;
ноябрь 2020;336;0,00103;
декабрь 2020;237;0,00079;
январь 2021;252;0,00087;
февраль 2021;420;0,00136;
март 2021;252;0,00080;
апрель 2021;302;0,00102;
май 2021;293;0,00106;
июнь 2021;265;0,00103;
июль 2021;323;0,00119;
август 2021;287;0,00095;
сентябрь 2021;247;0,00074;
октябрь 2021;251;0,00073;
ноябрь 2021;316;0,00089;
декабрь 2021;264;0,00075;
январь 2022;285;0,00082;
февраль 2022;1 254;0,00330;
март 2022;1 183;0,00328;
апрель 2022;980;0,00277;
май 2022;1 125;0,00363;
июнь 2022;665;0,00222;
июль 2022;662;0,00224;
август 2022;658;0,00193;
сентябрь 2022;714;0,00192;
октябрь 2022;479;0,00127;
ноябрь 2022;437;0,00114;
декабрь 2022;382;0,00100;
январь 2023;404;0,00116;
февраль 2023;586;0,00152;
март 2023;342;0,00097;
апрель 2023;351;0,00100;
май 2023;331;0,00107;
июнь 2023;300;0,00099;
июль 2023;356;0,00119;
август 2023;429;0,00132;
сентябрь 2023;348;0,00095;
октябрь 2023;394;0,00108;
ноябрь 2023;344;0,00092;
декабрь 2023;278;0,00075;
январь 2024;351;0,00102;
февраль 2024;312;0,00087;
март 2024;332;0,00099;
апрель 2024;295;0,00089;
май 2024;276;0,00100;
июнь 2024;253;0,00092;
июль 2024;258;0,00094;
август 2024;181;0,00061;
сентябрь 2024;193;0,00056;
октябрь 2024;220;0,00061;
ноябрь 2024;274;0,00073;
декабрь 2024;200;0,00054;
