Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;39;0,00145;
январь 2018;35;0,00133;
февраль 2018;34;0,00117;
март 2018;43;0,00156;
апрель 2018;28;0,00104;
май 2018;80;0,00311;
июнь 2018;31;0,00116;
июль 2018;51;0,00200;
август 2018;41;0,00146;
сентябрь 2018;41;0,00127;
октябрь 2018;66;0,00210;
ноябрь 2018;60;0,00188;
декабрь 2018;46;0,00140;
январь 2019;37;0,00111;
февраль 2019;42;0,00118;
март 2019;63;0,00189;
апрель 2019;58;0,00192;
май 2019;36;0,00125;
июнь 2019;56;0,00196;
июль 2019;49;0,00172;
август 2019;41;0,00134;
сентябрь 2019;51;0,00141;
октябрь 2019;39;0,00105;
ноябрь 2019;47;0,00116;
декабрь 2019;34;0,00081;
январь 2020;84;0,00209;
февраль 2020;68;0,00155;
март 2020;49;0,00084;
апрель 2020;59;0,00113;
май 2020;52;0,00118;
июнь 2020;44;0,00110;
июль 2020;47;0,00120;
август 2020;55;0,00130;
сентябрь 2020;44;0,00088;
октябрь 2020;73;0,00135;
ноябрь 2020;72;0,00147;
декабрь 2020;70;0,00145;
январь 2021;49;0,00105;
февраль 2021;73;0,00150;
март 2021;48;0,00087;
апрель 2021;76;0,00133;
май 2021;52;0,00098;
июнь 2021;45;0,00098;
июль 2021;59;0,00133;
август 2021;60;0,00111;
сентябрь 2021;51;0,00085;
октябрь 2021;41;0,00065;
ноябрь 2021;67;0,00100;
декабрь 2021;51;0,00075;
январь 2022;70;0,00108;
февраль 2022;138;0,00191;
март 2022;192;0,00266;
апрель 2022;152;0,00226;
май 2022;182;0,00294;
июнь 2022;155;0,00254;
июль 2022;165;0,00278;
август 2022;107;0,00162;
сентябрь 2022;171;0,00243;
октябрь 2022;164;0,00214;
ноябрь 2022;95;0,00127;
декабрь 2022;91;0,00117;
январь 2023;99;0,00142;
февраль 2023;173;0,00233;
март 2023;81;0,00111;
апрель 2023;87;0,00129;
май 2023;92;0,00152;
июнь 2023;71;0,00118;
июль 2023;66;0,00111;
август 2023;96;0,00156;
сентябрь 2023;76;0,00114;
октябрь 2023;82;0,00120;
ноябрь 2023;91;0,00130;
декабрь 2023;96;0,00137;
январь 2024;99;0,00149;
февраль 2024;98;0,00147;
март 2024;114;0,00178;
апрель 2024;86;0,00142;
май 2024;90;0,00167;
июнь 2024;82;0,00156;
июль 2024;76;0,00147;
август 2024;57;0,00103;
сентябрь 2024;63;0,00100;
октябрь 2024;94;0,00144;
ноябрь 2024;118;0,00171;
декабрь 2024;107;0,00156;
