Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;1 666;0,00165;
январь 2018;1 767;0,00178;
февраль 2018;1 871;0,00175;
март 2018;1 830;0,00191;
апрель 2018;1 793;0,00191;
май 2018;1 910;0,00214;
июнь 2018;1 912;0,00213;
июль 2018;2 160;0,00243;
август 2018;1 977;0,00190;
сентябрь 2018;2 124;0,00180;
октябрь 2018;2 185;0,00200;
ноябрь 2018;2 133;0,00194;
декабрь 2018;2 069;0,00183;
январь 2019;2 205;0,00197;
февраль 2019;2 423;0,00209;
март 2019;2 259;0,00214;
апрель 2019;2 083;0,00210;
май 2019;2 309;0,00255;
июнь 2019;2 092;0,00229;
июль 2019;1 964;0,00213;
август 2019;2 064;0,00201;
сентябрь 2019;2 064;0,00176;
октябрь 2019;2 071;0,00178;
ноябрь 2019;2 240;0,00191;
декабрь 2019;1 922;0,00160;
январь 2020;1 837;0,00153;
февраль 2020;2 126;0,00166;
март 2020;1 978;0,00126;
апрель 2020;2 013;0,00142;
май 2020;1 971;0,00173;
июнь 2020;1 800;0,00174;
июль 2020;1 837;0,00172;
август 2020;1 633;0,00134;
сентябрь 2020;1 905;0,00137;
октябрь 2020;2 055;0,00132;
ноябрь 2020;2 148;0,00143;
декабрь 2020;1 689;0,00114;
январь 2021;1 820;0,00127;
февраль 2021;2 229;0,00141;
март 2021;2 230;0,00149;
апрель 2021;1 955;0,00142;
май 2021;1 986;0,00145;
июнь 2021;2 086;0,00160;
июль 2021;1 879;0,00141;
август 2021;1 598;0,00110;
сентябрь 2021;1 940;0,00122;
октябрь 2021;2 031;0,00126;
ноябрь 2021;2 050;0,00127;
декабрь 2021;1 795;0,00111;
январь 2022;2 073;0,00132;
февраль 2022;5 346;0,00307;
март 2022;4 971;0,00309;
апрель 2022;4 680;0,00295;
май 2022;4 482;0,00320;
июнь 2022;4 114;0,00297;
июль 2022;3 525;0,00259;
август 2022;3 587;0,00231;
сентябрь 2022;4 421;0,00264;
октябрь 2022;3 320;0,00196;
ноябрь 2022;3 143;0,00186;
декабрь 2022;2 499;0,00147;
январь 2023;2 726;0,00175;
февраль 2023;3 470;0,00208;
март 2023;2 508;0,00163;
апрель 2023;2 341;0,00152;
май 2023;2 093;0,00150;
июнь 2023;2 429;0,00178;
июль 2023;2 562;0,00193;
август 2023;1 911;0,00131;
сентябрь 2023;2 113;0,00129;
октябрь 2023;2 064;0,00127;
ноябрь 2023;2 130;0,00131;
декабрь 2023;1 940;0,00118;
январь 2024;1 915;0,00125;
февраль 2024;2 062;0,00132;
март 2024;1 794;0,00125;
апрель 2024;1 888;0,00134;
май 2024;1 630;0,00130;
июнь 2024;1 811;0,00148;
июль 2024;1 719;0,00139;
август 2024;1 597;0,00120;
сентябрь 2024;1 476;0,00097;
октябрь 2024;1 425;0,00091;
ноябрь 2024;1 621;0,00100;
декабрь 2024;1 391;0,00086;
