Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;4 647;0,0019;
январь 2018;5 105;0,0021;
февраль 2018;5 447;0,0021;
март 2018;4 949;0,0022;
апрель 2018;5 435;0,0023;
май 2018;5 814;0,0025;
июнь 2018;6 747;0,0026;
июль 2018;6 631;0,0026;
август 2018;5 875;0,0022;
сентябрь 2018;5 993;0,0021;
октябрь 2018;6 259;0,0024;
ноябрь 2018;7 378;0,0028;
декабрь 2018;6 202;0,0022;
январь 2019;6 530;0,0025;
февраль 2019;7 062;0,0026;
март 2019;7 080;0,0027;
апрель 2019;6 664;0,0026;
май 2019;7 208;0,0029;
июнь 2019;7 101;0,0026;
июль 2019;6 920;0,0025;
август 2019;6 539;0,0024;
сентябрь 2019;6 451;0,0022;
октябрь 2019;6 537;0,0023;
ноябрь 2019;7 892;0,0026;
декабрь 2019;5 810;0,0018;
январь 2020;5 948;0,0019;
февраль 2020;6 100;0,0019;
март 2020;8 802;0,0022;
апрель 2020;6 461;0,0018;
май 2020;6 947;0,0022;
июнь 2020;7 561;0,0024;
июль 2020;7 775;0,0023;
август 2020;7 054;0,0021;
сентябрь 2020;5 985;0,0016;
октябрь 2020;6 010;0,0016;
ноябрь 2020;6 773;0,0019;
декабрь 2020;5 501;0,0015;
январь 2021;5 629;0,0016;
февраль 2021;6 580;0,0017;
март 2021;6 631;0,0018;
апрель 2021;5 475;0,0016;
май 2021;6 150;0,0017;
июнь 2021;6 938;0,0017;
июль 2021;7 215;0,0017;
август 2021;5 941;0,0016;
сентябрь 2021;5 734;0,0016;
октябрь 2021;5 971;0,0016;
ноябрь 2021;6 517;0,0017;
декабрь 2021;5 732;0,0015;
январь 2022;6 474;0,0018;
февраль 2022;17 270;0,0042;
март 2022;16 290;0,0043;
апрель 2022;17 056;0,0045;
май 2022;16 958;0,0045;
июнь 2022;15 525;0,0038;
июль 2022;14 122;0,0034;
август 2022;14 003;0,0034;
сентябрь 2022;14 635;0,0035;
октябрь 2022;11 818;0,0028;
ноябрь 2022;10 254;0,0024;
декабрь 2022;9 272;0,0022;
январь 2023;8 866;0,0022;
февраль 2023;12 488;0,0030;
март 2023;9 088;0,0023;
апрель 2023;8 332;0,0021;
май 2023;8 211;0,0021;
июнь 2023;9 256;0,0022;
июль 2023;9 982;0,0024;
август 2023;8 255;0,0021;
сентябрь 2023;7 780;0,0019;
октябрь 2023;7 890;0,0019;
ноябрь 2023;7 745;0,0019;
декабрь 2023;7 088;0,0017;
январь 2024;6 983;0,0018;
февраль 2024;7 800;0,0020;
март 2024;6 952;0,0019;
апрель 2024;6 268;0,0017;
май 2024;6 887;0,0020;
июнь 2024;7 586;0,0020;
июль 2024;8 066;0,0020;
август 2024;7 352;0,0019;
сентябрь 2024;6 563;0,0016;
октябрь 2024;6 559;0,0016;
ноябрь 2024;6 599;0,0015;
декабрь 2024;5 752;0,0013;
