Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Магаданская область, все устройства
декабрь 2017;56;0,0016;
январь 2018;54;0,0016;
февраль 2018;78;0,0020;
март 2018;102;0,0028;
апрель 2018;84;0,0023;
май 2018;95;0,0030;
июнь 2018;64;0,0021;
июль 2018;57;0,0019;
август 2018;67;0,0019;
сентябрь 2018;55;0,0013;
октябрь 2018;80;0,0019;
ноябрь 2018;69;0,0017;
декабрь 2018;65;0,0016;
январь 2019;122;0,0030;
февраль 2019;120;0,0027;
март 2019;136;0,0033;
апрель 2019;121;0,0032;
май 2019;120;0,0037;
июнь 2019;99;0,0033;
июль 2019;101;0,0034;
август 2019;84;0,0024;
сентябрь 2019;142;0,0032;
октябрь 2019;99;0,0022;
ноябрь 2019;118;0,0025;
декабрь 2019;106;0,0022;
январь 2020;104;0,0022;
февраль 2020;80;0,0015;
март 2020;116;0,0017;
апрель 2020;99;0,0016;
май 2020;107;0,0022;
июнь 2020;84;0,0019;
июль 2020;64;0,0015;
август 2020;111;0,0023;
сентябрь 2020;133;0,0022;
октябрь 2020;105;0,0017;
ноябрь 2020;105;0,0017;
декабрь 2020;101;0,0017;
январь 2021;58;0,0010;
февраль 2021;68;0,0011;
март 2021;94;0,0015;
апрель 2021;89;0,0014;
май 2021;72;0,0013;
июнь 2021;96;0,0019;
июль 2021;59;0,0012;
август 2021;85;0,0015;
сентябрь 2021;96;0,0014;
октябрь 2021;135;0,0020;
ноябрь 2021;103;0,0015;
декабрь 2021;102;0,0015;
январь 2022;106;0,0016;
февраль 2022;218;0,0030;
март 2022;358;0,0050;
апрель 2022;379;0,0053;
май 2022;326;0,0051;
июнь 2022;270;0,0046;
июль 2022;243;0,0040;
август 2022;209;0,0030;
сентябрь 2022;277;0,0037;
октябрь 2022;279;0,0034;
ноябрь 2022;216;0,0028;
декабрь 2022;169;0,0022;
январь 2023;125;0,0017;
февраль 2023;186;0,0024;
март 2023;166;0,0022;
апрель 2023;162;0,0022;
май 2023;127;0,0021;
июнь 2023;166;0,0028;
июль 2023;123;0,0021;
август 2023;141;0,0021;
сентябрь 2023;159;0,0022;
октябрь 2023;112;0,0016;
ноябрь 2023;121;0,0017;
декабрь 2023;116;0,0016;
январь 2024;102;0,0015;
февраль 2024;105;0,0015;
март 2024;95;0,0014;
апрель 2024;130;0,0020;
май 2024;121;0,0021;
июнь 2024;58;0,0011;
июль 2024;89;0,0017;
август 2024;122;0,0021;
сентябрь 2024;87;0,0013;
октябрь 2024;109;0,0015;
ноябрь 2024;92;0,0013;
декабрь 2024;100;0,0014;
