Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;471;0,0013;
январь 2018;443;0,0012;
февраль 2018;474;0,0012;
март 2018;411;0,0012;
апрель 2018;441;0,0013;
май 2018;446;0,0015;
июнь 2018;468;0,0015;
июль 2018;459;0,0015;
август 2018;483;0,0013;
сентябрь 2018;575;0,0014;
октябрь 2018;602;0,0016;
ноябрь 2018;609;0,0016;
декабрь 2018;746;0,0018;
январь 2019;732;0,0018;
февраль 2019;1 024;0,0024;
март 2019;939;0,0025;
апрель 2019;947;0,0027;
май 2019;1 049;0,0033;
июнь 2019;1 075;0,0032;
июль 2019;1 389;0,0042;
август 2019;1 240;0,0035;
сентябрь 2019;1 105;0,0027;
октябрь 2019;1 065;0,0026;
ноябрь 2019;1 261;0,0029;
декабрь 2019;1 008;0,0022;
январь 2020;839;0,0019;
февраль 2020;998;0,0021;
март 2020;772;0,0012;
апрель 2020;806;0,0015;
май 2020;758;0,0018;
июнь 2020;806;0,0020;
июль 2020;848;0,0022;
август 2020;726;0,0016;
сентябрь 2020;664;0,0013;
октябрь 2020;730;0,0013;
ноябрь 2020;858;0,0016;
декабрь 2020;659;0,0013;
январь 2021;626;0,0012;
февраль 2021;901;0,0016;
март 2021;1 008;0,0018;
апрель 2021;906;0,0016;
май 2021;772;0,0015;
июнь 2021;757;0,0016;
июль 2021;851;0,0017;
август 2021;850;0,0015;
сентябрь 2021;807;0,0012;
октябрь 2021;806;0,0012;
ноябрь 2021;936;0,0014;
декабрь 2021;826;0,0012;
январь 2022;859;0,0013;
февраль 2022;1 767;0,0025;
март 2022;1 474;0,0023;
апрель 2022;1 524;0,0024;
май 2022;1 745;0,0031;
июнь 2022;1 330;0,0023;
июль 2022;1 176;0,0021;
август 2022;1 141;0,0018;
сентябрь 2022;1 133;0,0016;
октябрь 2022;1 135;0,0016;
ноябрь 2022;1 066;0,0015;
декабрь 2022;961;0,0013;
январь 2023;1 012;0,0016;
февраль 2023;1 364;0,0019;
март 2023;883;0,0014;
апрель 2023;920;0,0015;
май 2023;804;0,0014;
июнь 2023;882;0,0015;
июль 2023;958;0,0017;
август 2023;824;0,0014;
сентябрь 2023;887;0,0013;
октябрь 2023;1 401;0,0021;
ноябрь 2023;859;0,0013;
декабрь 2023;820;0,0012;
январь 2024;901;0,0014;
февраль 2024;898;0,0014;
март 2024;799;0,0013;
апрель 2024;864;0,0015;
май 2024;753;0,0015;
июнь 2024;687;0,0013;
июль 2024;715;0,0014;
август 2024;699;0,0013;
сентябрь 2024;661;0,0011;
октябрь 2024;765;0,0012;
ноябрь 2024;817;0,0012;
декабрь 2024;785;0,0012;
