Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;244;0,00144;
январь 2018;245;0,00144;
февраль 2018;314;0,00176;
март 2018;298;0,00177;
апрель 2018;345;0,00205;
май 2018;348;0,00242;
июнь 2018;285;0,00198;
июль 2018;354;0,00244;
август 2018;335;0,00201;
сентябрь 2018;276;0,00136;
октябрь 2018;284;0,00139;
ноябрь 2018;407;0,00201;
декабрь 2018;304;0,00144;
январь 2019;333;0,00156;
февраль 2019;416;0,00191;
март 2019;340;0,00161;
апрель 2019;284;0,00143;
май 2019;362;0,00222;
июнь 2019;376;0,00239;
июль 2019;257;0,00160;
август 2019;258;0,00140;
сентябрь 2019;322;0,00142;
октябрь 2019;233;0,00100;
ноябрь 2019;363;0,00146;
декабрь 2019;286;0,00107;
январь 2020;260;0,00099;
февраль 2020;269;0,00097;
март 2020;337;0,00091;
апрель 2020;324;0,00092;
май 2020;325;0,00130;
июнь 2020;276;0,00124;
июль 2020;235;0,00110;
август 2020;258;0,00093;
сентябрь 2020;266;0,00072;
октябрь 2020;311;0,00081;
ноябрь 2020;338;0,00097;
декабрь 2020;239;0,00072;
январь 2021;202;0,00066;
февраль 2021;235;0,00073;
март 2021;304;0,00093;
апрель 2021;278;0,00084;
май 2021;230;0,00083;
июнь 2021;221;0,00086;
июль 2021;232;0,00091;
август 2021;251;0,00083;
сентябрь 2021;293;0,00077;
октябрь 2021;272;0,00074;
ноябрь 2021;304;0,00077;
декабрь 2021;356;0,00092;
январь 2022;342;0,00085;
февраль 2022;725;0,00183;
март 2022;1 096;0,00289;
апрель 2022;880;0,00232;
май 2022;726;0,00234;
июнь 2022;833;0,00279;
июль 2022;764;0,00238;
август 2022;669;0,00191;
сентябрь 2022;727;0,00184;
октябрь 2022;746;0,00173;
ноябрь 2022;625;0,00139;
декабрь 2022;508;0,00112;
январь 2023;412;0,00101;
февраль 2023;713;0,00164;
март 2023;472;0,00112;
апрель 2023;430;0,00101;
май 2023;374;0,00102;
июнь 2023;455;0,00132;
июль 2023;426;0,00121;
август 2023;481;0,00127;
сентябрь 2023;335;0,00077;
октябрь 2023;326;0,00074;
ноябрь 2023;390;0,00084;
декабрь 2023;419;0,00095;
январь 2024;332;0,00081;
февраль 2024;401;0,00095;
март 2024;374;0,00092;
апрель 2024;252;0,00065;
май 2024;353;0,00107;
июнь 2024;278;0,00086;
июль 2024;280;0,00087;
август 2024;361;0,00102;
сентябрь 2024;290;0,00069;
октябрь 2024;345;0,00080;
ноябрь 2024;344;0,00075;
декабрь 2024;310;0,00072;
