Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;41 537;0,0033;
январь 2018;44 829;0,0034;
февраль 2018;52 442;0,0036;
март 2018;51 533;0,0040;
апрель 2018;55 477;0,0043;
май 2018;53 677;0,0046;
июнь 2018;54 746;0,0045;
июль 2018;60 149;0,0050;
август 2018;57 158;0,0041;
сентябрь 2018;59 714;0,0037;
октябрь 2018;54 042;0,0036;
ноябрь 2018;60 124;0,0040;
декабрь 2018;51 798;0,0034;
январь 2019;55 085;0,0039;
февраль 2019;57 589;0,0040;
март 2019;57 600;0,0042;
апрель 2019;52 942;0,0041;
май 2019;52 851;0,0044;
июнь 2019;51 890;0,0041;
июль 2019;47 643;0,0040;
август 2019;46 469;0,0035;
сентябрь 2019;47 579;0,0032;
октябрь 2019;44 199;0,0030;
ноябрь 2019;62 113;0,0041;
декабрь 2019;40 146;0,0026;
январь 2020;40 252;0,0027;
февраль 2020;45 602;0,0029;
март 2020;37 507;0,0022;
апрель 2020;46 396;0,0029;
май 2020;48 434;0,0034;
июнь 2020;45 828;0,0033;
июль 2020;43 378;0,0032;
август 2020;45 366;0,0029;
сентябрь 2020;45 901;0,0026;
октябрь 2020;46 708;0,0025;
ноябрь 2020;50 220;0,0028;
декабрь 2020;38 163;0,0023;
январь 2021;39 421;0,0025;
февраль 2021;47 526;0,0027;
март 2021;53 841;0,0031;
апрель 2021;54 799;0,0035;
май 2021;44 382;0,0029;
июнь 2021;52 030;0,0032;
июль 2021;55 310;0,0032;
август 2021;49 603;0,0028;
сентябрь 2021;51 671;0,0030;
октябрь 2021;51 043;0,0030;
ноябрь 2021;58 310;0,0034;
декабрь 2021;52 077;0,0030;
январь 2022;57 892;0,0033;
февраль 2022;123 274;0,0068;
март 2022;139 728;0,0083;
апрель 2022;147 989;0,0083;
май 2022;123 336;0,0080;
июнь 2022;101 142;0,0070;
июль 2022;94 463;0,0061;
август 2022;115 588;0,0067;
сентябрь 2022;114 488;0,0068;
октябрь 2022;86 180;0,0051;
ноябрь 2022;69 773;0,0042;
декабрь 2022;57 465;0,0037;
январь 2023;53 577;0,0036;
февраль 2023;78 519;0,0048;
март 2023;50 855;0,0035;
апрель 2023;46 309;0,0032;
май 2023;41 804;0,0032;
июнь 2023;42 677;0,0035;
июль 2023;45 511;0,0037;
август 2023;38 419;0,0028;
сентябрь 2023;38 755;0,0024;
октябрь 2023;35 473;0,0023;
ноябрь 2023;34 761;0,0022;
декабрь 2023;32 089;0,0020;
январь 2024;32 253;0,0022;
февраль 2024;37 957;0,0025;
март 2024;48 649;0,0035;
апрель 2024;46 332;0,0033;
май 2024;34 289;0,0029;
июнь 2024;30 654;0,0027;
июль 2024;62 691;0,0055;
август 2024;49 393;0,0039;
сентябрь 2024;52 691;0,0037;
октябрь 2024;58 296;0,0038;
ноябрь 2024;51 538;0,0033;
декабрь 2024;45 222;0,0030;
