Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Камчатский край, все устройства
декабрь 2017;127;0,0015;
январь 2018;128;0,0016;
февраль 2018;214;0,0023;
март 2018;215;0,0025;
апрель 2018;164;0,0019;
май 2018;193;0,0025;
июнь 2018;186;0,0025;
июль 2018;186;0,0025;
август 2018;192;0,0022;
сентябрь 2018;233;0,0023;
октябрь 2018;193;0,0020;
ноябрь 2018;180;0,0019;
декабрь 2018;204;0,0021;
январь 2019;193;0,0020;
февраль 2019;221;0,0022;
март 2019;127;0,0013;
апрель 2019;140;0,0016;
май 2019;185;0,0024;
июнь 2019;159;0,0022;
июль 2019;131;0,0018;
август 2019;150;0,0018;
сентябрь 2019;182;0,0018;
октябрь 2019;161;0,0015;
ноябрь 2019;267;0,0024;
декабрь 2019;166;0,0014;
январь 2020;177;0,0016;
февраль 2020;180;0,0014;
март 2020;190;0,0012;
апрель 2020;203;0,0014;
май 2020;190;0,0017;
июнь 2020;168;0,0017;
июль 2020;185;0,0018;
август 2020;169;0,0015;
сентябрь 2020;144;0,0010;
октябрь 2020;232;0,0016;
ноябрь 2020;172;0,0013;
декабрь 2020;140;0,0010;
январь 2021;173;0,0013;
февраль 2021;170;0,0012;
март 2021;169;0,0012;
апрель 2021;188;0,0014;
май 2021;148;0,0012;
июнь 2021;164;0,0014;
июль 2021;147;0,0012;
август 2021;182;0,0014;
сентябрь 2021;281;0,0019;
октябрь 2021;185;0,0012;
ноябрь 2021;251;0,0016;
декабрь 2021;193;0,0012;
январь 2022;197;0,0013;
февраль 2022;506;0,0031;
март 2022;638;0,0039;
апрель 2022;747;0,0046;
май 2022;562;0,0041;
июнь 2022;594;0,0044;
июль 2022;394;0,0028;
август 2022;473;0,0030;
сентябрь 2022;609;0,0036;
октябрь 2022;671;0,0036;
ноябрь 2022;406;0,0023;
декабрь 2022;364;0,0021;
январь 2023;241;0,0015;
февраль 2023;516;0,0029;
март 2023;287;0,0016;
апрель 2023;269;0,0016;
май 2023;237;0,0017;
июнь 2023;209;0,0016;
июль 2023;282;0,0021;
август 2023;265;0,0018;
сентябрь 2023;238;0,0014;
октябрь 2023;294;0,0018;
ноябрь 2023;266;0,0016;
декабрь 2023;225;0,0013;
январь 2024;232;0,0014;
февраль 2024;263;0,0016;
март 2024;278;0,0017;
апрель 2024;204;0,0013;
май 2024;307;0,0024;
июнь 2024;261;0,0020;
июль 2024;226;0,0017;
август 2024;221;0,0016;
сентябрь 2024;238;0,0015;
октябрь 2024;244;0,0015;
ноябрь 2024;247;0,0014;
декабрь 2024;289;0,0017;
