Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;276;0,00103;
январь 2018;247;0,00093;
февраль 2018;276;0,00097;
март 2018;260;0,00100;
апрель 2018;254;0,00109;
май 2018;264;0,00123;
июнь 2018;320;0,00151;
июль 2018;330;0,00146;
август 2018;311;0,00118;
сентябрь 2018;249;0,00080;
октябрь 2018;315;0,00112;
ноябрь 2018;359;0,00125;
декабрь 2018;309;0,00101;
январь 2019;327;0,00113;
февраль 2019;327;0,00104;
март 2019;372;0,00127;
апрель 2019;319;0,00113;
май 2019;379;0,00164;
июнь 2019;323;0,00142;
июль 2019;337;0,00150;
август 2019;302;0,00125;
сентябрь 2019;275;0,00097;
октябрь 2019;256;0,00091;
ноябрь 2019;328;0,00113;
декабрь 2019;263;0,00088;
январь 2020;291;0,00101;
февраль 2020;315;0,00101;
март 2020;329;0,00081;
апрель 2020;295;0,00087;
май 2020;288;0,00105;
июнь 2020;271;0,00102;
июль 2020;223;0,00086;
август 2020;262;0,00089;
сентябрь 2020;313;0,00093;
октябрь 2020;213;0,00056;
ноябрь 2020;377;0,00099;
декабрь 2020;331;0,00094;
январь 2021;361;0,00114;
февраль 2021;343;0,00100;
март 2021;275;0,00076;
апрель 2021;361;0,00095;
май 2021;337;0,00100;
июнь 2021;257;0,00088;
июль 2021;321;0,00104;
август 2021;371;0,00102;
сентябрь 2021;338;0,00083;
октябрь 2021;413;0,00101;
ноябрь 2021;465;0,00112;
декабрь 2021;354;0,00084;
январь 2022;422;0,00102;
февраль 2022;1 106;0,00250;
март 2022;1 055;0,00246;
апрель 2022;956;0,00229;
май 2022;840;0,00226;
июнь 2022;703;0,00193;
июль 2022;717;0,00196;
август 2022;809;0,00198;
сентябрь 2022;780;0,00180;
октябрь 2022;593;0,00135;
ноябрь 2022;568;0,00130;
декабрь 2022;428;0,00100;
январь 2023;448;0,00112;
февраль 2023;729;0,00166;
март 2023;502;0,00121;
апрель 2023;410;0,00104;
май 2023;350;0,00097;
июнь 2023;398;0,00108;
июль 2023;418;0,00118;
август 2023;343;0,00091;
сентябрь 2023;270;0,00065;
октябрь 2023;329;0,00080;
ноябрь 2023;314;0,00075;
декабрь 2023;318;0,00075;
январь 2024;341;0,00086;
февраль 2024;385;0,00094;
март 2024;315;0,00079;
апрель 2024;302;0,00081;
май 2024;358;0,00110;
июнь 2024;289;0,00087;
июль 2024;293;0,00089;
август 2024;214;0,00062;
сентябрь 2024;211;0,00054;
октябрь 2024;253;0,00063;
ноябрь 2024;185;0,00044;
декабрь 2024;190;0,00046;
