Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;113;0,00221;
январь 2018;125;0,00257;
февраль 2018;118;0,00215;
март 2018;117;0,00245;
апрель 2018;81;0,00174;
май 2018;119;0,00292;
июнь 2018;114;0,00278;
июль 2018;88;0,00217;
август 2018;128;0,00270;
сентябрь 2018;130;0,00231;
октябрь 2018;118;0,00211;
ноябрь 2018;175;0,00307;
декабрь 2018;108;0,00192;
январь 2019;129;0,00230;
февраль 2019;127;0,00215;
март 2019;171;0,00294;
апрель 2019;149;0,00271;
май 2019;172;0,00362;
июнь 2019;127;0,00273;
июль 2019;152;0,00328;
август 2019;151;0,00286;
сентябрь 2019;123;0,00197;
октябрь 2019;162;0,00246;
ноябрь 2019;167;0,00226;
декабрь 2019;150;0,00202;
январь 2020;95;0,00137;
февраль 2020;117;0,00148;
март 2020;147;0,00135;
апрель 2020;148;0,00149;
май 2020;83;0,00099;
июнь 2020;112;0,00160;
июль 2020;85;0,00126;
август 2020;82;0,00103;
сентябрь 2020;109;0,00114;
октябрь 2020;87;0,00081;
ноябрь 2020;102;0,00096;
декабрь 2020;97;0,00102;
январь 2021;102;0,00119;
февраль 2021;103;0,00110;
март 2021;113;0,00115;
апрель 2021;98;0,00104;
май 2021;70;0,00082;
июнь 2021;121;0,00149;
июль 2021;87;0,00109;
август 2021;100;0,00107;
сентябрь 2021;101;0,00095;
октябрь 2021;98;0,00084;
ноябрь 2021;90;0,00073;
декабрь 2021;95;0,00080;
январь 2022;82;0,00066;
февраль 2022;228;0,00179;
март 2022;173;0,00147;
апрель 2022;143;0,00128;
май 2022;157;0,00167;
июнь 2022;168;0,00187;
июль 2022;165;0,00187;
август 2022;93;0,00085;
сентябрь 2022;184;0,00150;
октябрь 2022;133;0,00102;
ноябрь 2022;140;0,00101;
декабрь 2022;83;0,00063;
январь 2023;82;0,00071;
февраль 2023;132;0,00100;
март 2023;92;0,00071;
апрель 2023;85;0,00068;
май 2023;91;0,00091;
июнь 2023;76;0,00079;
июль 2023;87;0,00091;
август 2023;126;0,00110;
сентябрь 2023;118;0,00091;
октябрь 2023;103;0,00078;
ноябрь 2023;91;0,00063;
декабрь 2023;124;0,00091;
январь 2024;87;0,00069;
февраль 2024;122;0,00096;
март 2024;129;0,00104;
апрель 2024;92;0,00081;
май 2024;80;0,00088;
июнь 2024;72;0,00080;
июль 2024;87;0,00099;
август 2024;112;0,00106;
сентябрь 2024;105;0,00085;
октябрь 2024;78;0,00059;
ноябрь 2024;71;0,00049;
декабрь 2024;85;0,00062;
