Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;392;0,00118;
январь 2018;402;0,00123;
февраль 2018;473;0,00134;
март 2018;320;0,00099;
апрель 2018;414;0,00130;
май 2018;471;0,00157;
июнь 2018;497;0,00163;
июль 2018;486;0,00166;
август 2018;377;0,00111;
сентябрь 2018;403;0,00102;
октябрь 2018;447;0,00123;
ноябрь 2018;534;0,00148;
декабрь 2018;458;0,00123;
январь 2019;579;0,00162;
февраль 2019;606;0,00159;
март 2019;551;0,00160;
апрель 2019;493;0,00147;
май 2019;710;0,00235;
июнь 2019;538;0,00175;
июль 2019;444;0,00147;
август 2019;392;0,00121;
сентябрь 2019;500;0,00136;
октябрь 2019;367;0,00098;
ноябрь 2019;604;0,00154;
декабрь 2019;419;0,00104;
январь 2020;443;0,00115;
февраль 2020;370;0,00089;
март 2020;364;0,00069;
апрель 2020;428;0,00090;
май 2020;463;0,00118;
июнь 2020;442;0,00122;
июль 2020;499;0,00138;
август 2020;427;0,00108;
сентябрь 2020;412;0,00090;
октябрь 2020;464;0,00096;
ноябрь 2020;498;0,00105;
декабрь 2020;349;0,00076;
январь 2021;385;0,00087;
февраль 2021;474;0,00096;
март 2021;498;0,00100;
апрель 2021;616;0,00125;
май 2021;499;0,00108;
июнь 2021;501;0,00117;
июль 2021;495;0,00113;
август 2021;499;0,00103;
сентябрь 2021;669;0,00126;
октябрь 2021;678;0,00122;
ноябрь 2021;785;0,00139;
декабрь 2021;638;0,00112;
январь 2022;657;0,00116;
февраль 2022;1 593;0,00264;
март 2022;1 675;0,00288;
апрель 2022;1 597;0,00291;
май 2022;1 192;0,00242;
июнь 2022;1 214;0,00251;
июль 2022;1 162;0,00240;
август 2022;999;0,00185;
сентябрь 2022;1 153;0,00198;
октябрь 2022;923;0,00157;
ноябрь 2022;900;0,00153;
декабрь 2022;766;0,00131;
январь 2023;774;0,00144;
февраль 2023;1 304;0,00221;
март 2023;779;0,00144;
апрель 2023;633;0,00119;
май 2023;657;0,00134;
июнь 2023;828;0,00173;
июль 2023;783;0,00168;
август 2023;478;0,00098;
сентябрь 2023;520;0,00093;
октябрь 2023;603;0,00108;
ноябрь 2023;750;0,00136;
декабрь 2023;665;0,00117;
январь 2024;766;0,00146;
февраль 2024;790;0,00147;
март 2024;655;0,00130;
апрель 2024;499;0,00101;
май 2024;512;0,00118;
июнь 2024;543;0,00127;
июль 2024;520;0,00122;
август 2024;482;0,00106;
сентябрь 2024;350;0,00068;
октябрь 2024;387;0,00071;
ноябрь 2024;444;0,00080;
декабрь 2024;369;0,00066;
