Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;490;0,00126;
январь 2018;547;0,00145;
февраль 2018;641;0,00152;
март 2018;550;0,00144;
апрель 2018;647;0,00176;
май 2018;556;0,00159;
июнь 2018;594;0,00170;
июль 2018;697;0,00194;
август 2018;665;0,00166;
сентябрь 2018;631;0,00136;
октябрь 2018;679;0,00162;
ноябрь 2018;606;0,00145;
декабрь 2018;745;0,00172;
январь 2019;768;0,00188;
февраль 2019;814;0,00185;
март 2019;922;0,00226;
апрель 2019;764;0,00200;
май 2019;926;0,00260;
июнь 2019;914;0,00249;
июль 2019;745;0,00209;
август 2019;769;0,00201;
сентябрь 2019;785;0,00177;
октябрь 2019;692;0,00154;
ноябрь 2019;1 264;0,00274;
декабрь 2019;956;0,00204;
январь 2020;762;0,00169;
февраль 2020;931;0,00184;
март 2020;830;0,00134;
апрель 2020;838;0,00152;
май 2020;703;0,00155;
июнь 2020;709;0,00167;
июль 2020;671;0,00159;
август 2020;703;0,00150;
сентябрь 2020;649;0,00122;
октябрь 2020;621;0,00111;
ноябрь 2020;702;0,00127;
декабрь 2020;619;0,00119;
январь 2021;559;0,00109;
февраль 2021;731;0,00129;
март 2021;815;0,00139;
апрель 2021;604;0,00104;
май 2021;625;0,00114;
июнь 2021;637;0,00127;
июль 2021;543;0,00104;
август 2021;589;0,00102;
сентябрь 2021;615;0,00096;
октябрь 2021;782;0,00116;
ноябрь 2021;779;0,00116;
декабрь 2021;666;0,00100;
январь 2022;792;0,00122;
февраль 2022;2 013;0,00281;
март 2022;1 808;0,00266;
апрель 2022;2 243;0,00334;
май 2022;1 885;0,00319;
июнь 2022;1 435;0,00248;
июль 2022;1 190;0,00204;
август 2022;1 305;0,00199;
сентябрь 2022;1 469;0,00211;
октябрь 2022;1 247;0,00178;
ноябрь 2022;1 114;0,00160;
декабрь 2022;984;0,00140;
январь 2023;1 005;0,00157;
февраль 2023;1 304;0,00186;
март 2023;833;0,00127;
апрель 2023;834;0,00129;
май 2023;812;0,00138;
июнь 2023;1 035;0,00178;
июль 2023;811;0,00144;
август 2023;803;0,00133;
сентябрь 2023;785;0,00115;
октябрь 2023;668;0,00100;
ноябрь 2023;657;0,00098;
декабрь 2023;554;0,00082;
январь 2024;690;0,00108;
февраль 2024;804;0,00124;
март 2024;818;0,00132;
апрель 2024;657;0,00109;
май 2024;672;0,00126;
июнь 2024;491;0,00093;
июль 2024;653;0,00125;
август 2024;590;0,00106;
сентябрь 2024;639;0,00101;
октябрь 2024;522;0,00080;
ноябрь 2024;713;0,00105;
декабрь 2024;624;0,00092;
