Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Татарстан, все устройства
декабрь 2017;2 544;0,00166;
январь 2018;2 528;0,00169;
февраль 2018;2 492;0,00154;
март 2018;2 339;0,00155;
апрель 2018;2 528;0,00177;
май 2018;2 557;0,00198;
июнь 2018;2 448;0,00197;
июль 2018;2 615;0,00208;
август 2018;2 600;0,00166;
сентябрь 2018;2 718;0,00151;
октябрь 2018;2 586;0,00157;
ноябрь 2018;2 772;0,00172;
декабрь 2018;2 696;0,00162;
январь 2019;2 988;0,00191;
февраль 2019;3 237;0,00191;
март 2019;3 444;0,00211;
апрель 2019;3 522;0,00234;
май 2019;3 373;0,00246;
июнь 2019;2 973;0,00219;
июль 2019;2 780;0,00196;
август 2019;2 783;0,00176;
сентябрь 2019;3 033;0,00165;
октябрь 2019;2 919;0,00159;
ноябрь 2019;3 591;0,00188;
декабрь 2019;2 811;0,00143;
январь 2020;2 702;0,00149;
февраль 2020;2 878;0,00149;
март 2020;2 982;0,00113;
апрель 2020;3 289;0,00153;
май 2020;3 400;0,00192;
июнь 2020;2 868;0,00174;
июль 2020;3 117;0,00170;
август 2020;3 133;0,00145;
сентябрь 2020;3 113;0,00123;
октябрь 2020;3 306;0,00134;
ноябрь 2020;3 581;0,00150;
декабрь 2020;3 013;0,00127;
январь 2021;2 882;0,00129;
февраль 2021;3 311;0,00143;
март 2021;3 220;0,00141;
апрель 2021;2 939;0,00143;
май 2021;2 819;0,00140;
июнь 2021;2 791;0,00140;
июль 2021;2 811;0,00135;
август 2021;2 919;0,00130;
сентябрь 2021;2 867;0,00116;
октябрь 2021;2 907;0,00117;
ноябрь 2021;3 597;0,00140;
декабрь 2021;3 110;0,00124;
январь 2022;3 605;0,00147;
февраль 2022;9 046;0,00331;
март 2022;8 886;0,00337;
апрель 2022;9 656;0,00380;
май 2022;9 079;0,00416;
июнь 2022;7 733;0,00371;
июль 2022;6 473;0,00303;
август 2022;7 506;0,00304;
сентябрь 2022;7 961;0,00297;
октябрь 2022;5 734;0,00213;
ноябрь 2022;5 401;0,00200;
декабрь 2022;4 247;0,00158;
январь 2023;4 179;0,00168;
февраль 2023;5 610;0,00206;
март 2023;4 135;0,00166;
апрель 2023;3 899;0,00158;
май 2023;3 821;0,00177;
июнь 2023;4 013;0,00190;
июль 2023;4 066;0,00191;
август 2023;3 730;0,00155;
сентябрь 2023;3 769;0,00140;
октябрь 2023;3 894;0,00148;
ноябрь 2023;3 528;0,00131;
декабрь 2023;3 232;0,00123;
январь 2024;3 308;0,00135;
февраль 2024;3 457;0,00135;
март 2024;3 179;0,00133;
апрель 2024;2 998;0,00128;
май 2024;2 972;0,00152;
июнь 2024;2 872;0,00147;
июль 2024;3 037;0,00155;
август 2024;2 706;0,00125;
сентябрь 2024;2 470;0,00099;
октябрь 2024;2 617;0,00101;
ноябрь 2024;3 225;0,00120;
декабрь 2024;2 727;0,00101;
