Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;12 619;0,0028;
январь 2018;13 213;0,0030;
февраль 2018;16 355;0,0034;
март 2018;16 162;0,0038;
апрель 2018;17 189;0,0041;
май 2018;17 517;0,0044;
июнь 2018;17 817;0,0043;
июль 2018;19 323;0,0047;
август 2018;18 187;0,0038;
сентябрь 2018;18 049;0,0033;
октябрь 2018;16 944;0,0033;
ноябрь 2018;19 926;0,0039;
декабрь 2018;17 185;0,0032;
январь 2019;19 482;0,0038;
февраль 2019;20 571;0,0037;
март 2019;19 720;0,0039;
апрель 2019;18 211;0,0038;
май 2019;19 494;0,0042;
июнь 2019;18 146;0,0039;
июль 2019;16 837;0,0036;
август 2019;15 929;0,0032;
сентябрь 2019;16 527;0,0030;
октябрь 2019;16 188;0,0029;
ноябрь 2019;24 726;0,0043;
декабрь 2019;14 221;0,0024;
январь 2020;14 071;0,0025;
февраль 2020;16 754;0,0026;
март 2020;16 209;0,0020;
апрель 2020;19 465;0,0026;
май 2020;18 872;0,0031;
июнь 2020;17 107;0,0031;
июль 2020;16 129;0,0030;
август 2020;17 258;0,0029;
сентябрь 2020;17 613;0,0026;
октябрь 2020;18 253;0,0026;
ноябрь 2020;19 028;0,0028;
декабрь 2020;15 379;0,0023;
январь 2021;14 675;0,0024;
февраль 2021;17 147;0,0025;
март 2021;24 411;0,0034;
апрель 2021;24 798;0,0031;
май 2021;23 246;0,0031;
июнь 2021;19 830;0,0031;
июль 2021;20 227;0,0031;
август 2021;23 239;0,0029;
сентябрь 2021;26 724;0,0031;
октябрь 2021;26 525;0,0030;
ноябрь 2021;31 575;0,0035;
декабрь 2021;26 680;0,0029;
январь 2022;28 809;0,0033;
февраль 2022;64 664;0,0066;
март 2022;66 855;0,0073;
апрель 2022;67 988;0,0075;
май 2022;60 847;0,0074;
июнь 2022;50 799;0,0062;
июль 2022;44 359;0,0053;
август 2022;47 721;0,0052;
сентябрь 2022;52 008;0,0055;
октябрь 2022;43 012;0,0046;
ноябрь 2022;37 284;0,0040;
декабрь 2022;31 834;0,0034;
январь 2023;29 568;0,0035;
февраль 2023;43 537;0,0047;
март 2023;29 200;0,0035;
апрель 2023;27 398;0,0032;
май 2023;25 181;0,0032;
июнь 2023;25 570;0,0032;
июль 2023;28 129;0,0036;
август 2023;22 613;0,0028;
сентябрь 2023;22 201;0,0025;
октябрь 2023;21 391;0,0025;
ноябрь 2023;21 082;0,0024;
декабрь 2023;19 167;0,0021;
январь 2024;19 331;0,0023;
февраль 2024;26 077;0,0030;
март 2024;19 481;0,0024;
апрель 2024;19 040;0,0024;
май 2024;18 939;0,0026;
июнь 2024;18 636;0,0025;
июль 2024;19 641;0,0027;
август 2024;17 268;0,0022;
сентябрь 2024;15 898;0,0019;
октябрь 2024;18 559;0,0022;
ноябрь 2024;18 978;0,0021;
декабрь 2024;17 986;0,0020;
