Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;324;0,00145;
январь 2018;229;0,00105;
февраль 2018;314;0,00127;
март 2018;256;0,00116;
апрель 2018;271;0,00126;
май 2018;295;0,00140;
июнь 2018;378;0,00182;
июль 2018;323;0,00153;
август 2018;302;0,00127;
сентябрь 2018;342;0,00125;
октябрь 2018;352;0,00142;
ноябрь 2018;320;0,00130;
декабрь 2018;379;0,00146;
январь 2019;314;0,00128;
февраль 2019;329;0,00128;
март 2019;298;0,00126;
апрель 2019;271;0,00115;
май 2019;367;0,00179;
июнь 2019;319;0,00148;
июль 2019;272;0,00128;
август 2019;362;0,00161;
сентябрь 2019;344;0,00134;
октябрь 2019;392;0,00151;
ноябрь 2019;410;0,00153;
декабрь 2019;306;0,00110;
январь 2020;224;0,00085;
февраль 2020;362;0,00121;
март 2020;353;0,00096;
апрель 2020;336;0,00100;
май 2020;348;0,00130;
июнь 2020;377;0,00146;
июль 2020;274;0,00109;
август 2020;298;0,00110;
сентябрь 2020;530;0,00172;
октябрь 2020;523;0,00161;
ноябрь 2020;395;0,00125;
декабрь 2020;376;0,00121;
январь 2021;303;0,00104;
февраль 2021;400;0,00126;
март 2021;431;0,00129;
апрель 2021;413;0,00115;
май 2021;358;0,00111;
июнь 2021;329;0,00117;
июль 2021;373;0,00125;
август 2021;482;0,00141;
сентябрь 2021;452;0,00117;
октябрь 2021;401;0,00102;
ноябрь 2021;556;0,00140;
декабрь 2021;431;0,00105;
январь 2022;501;0,00126;
февраль 2022;1 511;0,00359;
март 2022;1 171;0,00289;
апрель 2022;852;0,00216;
май 2022;1 010;0,00281;
июнь 2022;929;0,00257;
июль 2022;1 044;0,00289;
август 2022;799;0,00205;
сентябрь 2022;786;0,00187;
октябрь 2022;877;0,00207;
ноябрь 2022;615;0,00147;
декабрь 2022;454;0,00106;
январь 2023;604;0,00156;
февраль 2023;646;0,00152;
март 2023;497;0,00127;
апрель 2023;517;0,00135;
май 2023;485;0,00137;
июнь 2023;524;0,00146;
июль 2023;475;0,00132;
август 2023;509;0,00142;
сентябрь 2023;605;0,00151;
октябрь 2023;455;0,00114;
ноябрь 2023;368;0,00092;
декабрь 2023;483;0,00117;
январь 2024;393;0,00102;
февраль 2024;387;0,00100;
март 2024;371;0,00099;
апрель 2024;443;0,00124;
май 2024;314;0,00097;
июнь 2024;341;0,00101;
июль 2024;341;0,00104;
август 2024;325;0,00097;
сентябрь 2024;334;0,00088;
октябрь 2024;446;0,00113;
ноябрь 2024;416;0,00104;
декабрь 2024;370;0,00092;
