Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;58;0,00143;
январь 2018;29;0,00072;
февраль 2018;77;0,00179;
март 2018;65;0,00171;
апрель 2018;66;0,00175;
май 2018;33;0,00098;
июнь 2018;60;0,00154;
июль 2018;61;0,00156;
август 2018;66;0,00163;
сентябрь 2018;74;0,00166;
октябрь 2018;49;0,00107;
ноябрь 2018;56;0,00115;
декабрь 2018;39;0,00077;
январь 2019;48;0,00099;
февраль 2019;75;0,00150;
март 2019;44;0,00090;
апрель 2019;61;0,00136;
май 2019;66;0,00160;
июнь 2019;65;0,00148;
июль 2019;49;0,00114;
август 2019;63;0,00141;
сентябрь 2019;53;0,00106;
октябрь 2019;70;0,00135;
ноябрь 2019;59;0,00099;
декабрь 2019;38;0,00062;
январь 2020;65;0,00116;
февраль 2020;94;0,00152;
март 2020;83;0,00108;
апрель 2020;72;0,00103;
май 2020;102;0,00174;
июнь 2020;155;0,00279;
июль 2020;56;0,00104;
август 2020;76;0,00133;
сентябрь 2020;43;0,00065;
октябрь 2020;63;0,00088;
ноябрь 2020;59;0,00087;
декабрь 2020;40;0,00061;
январь 2021;51;0,00086;
февраль 2021;59;0,00094;
март 2021;90;0,00138;
апрель 2021;94;0,00145;
май 2021;50;0,00071;
июнь 2021;81;0,00130;
июль 2021;64;0,00103;
август 2021;45;0,00063;
сентябрь 2021;62;0,00076;
октябрь 2021;70;0,00082;
ноябрь 2021;89;0,00099;
декабрь 2021;121;0,00132;
январь 2022;115;0,00130;
февраль 2022;254;0,00258;
март 2022;385;0,00456;
апрель 2022;676;0,00788;
май 2022;589;0,00727;
июнь 2022;418;0,00523;
июль 2022;285;0,00361;
август 2022;348;0,00415;
сентябрь 2022;277;0,00308;
октябрь 2022;213;0,00223;
ноябрь 2022;177;0,00185;
декабрь 2022;159;0,00165;
январь 2023;154;0,00176;
февраль 2023;179;0,00193;
март 2023;122;0,00150;
апрель 2023;173;0,00199;
май 2023;191;0,00246;
июнь 2023;109;0,00138;
июль 2023;122;0,00154;
август 2023;99;0,00120;
сентябрь 2023;74;0,00082;
октябрь 2023;102;0,00111;
ноябрь 2023;174;0,00179;
декабрь 2023;85;0,00087;
январь 2024;135;0,00154;
февраль 2024;74;0,00088;
март 2024;77;0,00106;
апрель 2024;89;0,00110;
май 2024;75;0,00104;
июнь 2024;88;0,00119;
июль 2024;104;0,00139;
август 2024;71;0,00096;
сентябрь 2024;93;0,00111;
октябрь 2024;120;0,00140;
ноябрь 2024;103;0,00108;
декабрь 2024;66;0,00072;
