Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;291;0,00126;
январь 2018;346;0,00149;
февраль 2018;435;0,00170;
март 2018;329;0,00141;
апрель 2018;435;0,00197;
май 2018;603;0,00283;
июнь 2018;878;0,00407;
июль 2018;702;0,00320;
август 2018;696;0,00285;
сентябрь 2018;862;0,00307;
октябрь 2018;627;0,00247;
ноябрь 2018;625;0,00250;
декабрь 2018;519;0,00200;
январь 2019;536;0,00211;
февраль 2019;684;0,00255;
март 2019;507;0,00208;
апрель 2019;420;0,00176;
май 2019;522;0,00244;
июнь 2019;516;0,00229;
июль 2019;453;0,00207;
август 2019;355;0,00151;
сентябрь 2019;464;0,00171;
октябрь 2019;390;0,00144;
ноябрь 2019;451;0,00161;
декабрь 2019;391;0,00135;
январь 2020;442;0,00155;
февраль 2020;562;0,00182;
март 2020;383;0,00100;
апрель 2020;430;0,00129;
май 2020;411;0,00151;
июнь 2020;363;0,00135;
июль 2020;339;0,00130;
август 2020;423;0,00143;
сентябрь 2020;529;0,00154;
октябрь 2020;395;0,00113;
ноябрь 2020;418;0,00127;
декабрь 2020;339;0,00108;
январь 2021;343;0,00115;
февраль 2021;438;0,00136;
март 2021;442;0,00127;
апрель 2021;488;0,00135;
май 2021;414;0,00126;
июнь 2021;336;0,00116;
июль 2021;381;0,00127;
август 2021;402;0,00114;
сентябрь 2021;423;0,00110;
октябрь 2021;438;0,00110;
ноябрь 2021;536;0,00133;
декабрь 2021;438;0,00108;
январь 2022;458;0,00115;
февраль 2022;1 130;0,00264;
март 2022;1 142;0,00276;
апрель 2022;1 045;0,00261;
май 2022;986;0,00272;
июнь 2022;905;0,00245;
июль 2022;925;0,00253;
август 2022;848;0,00210;
сентябрь 2022;833;0,00196;
октябрь 2022;805;0,00186;
ноябрь 2022;725;0,00170;
декабрь 2022;571;0,00135;
январь 2023;580;0,00148;
февраль 2023;823;0,00192;
март 2023;551;0,00137;
апрель 2023;533;0,00135;
май 2023;486;0,00135;
июнь 2023;724;0,00199;
июль 2023;622;0,00171;
август 2023;574;0,00153;
сентябрь 2023;506;0,00121;
октябрь 2023;528;0,00127;
ноябрь 2023;591;0,00143;
декабрь 2023;392;0,00093;
январь 2024;426;0,00108;
февраль 2024;493;0,00123;
март 2024;408;0,00105;
апрель 2024;400;0,00109;
май 2024;442;0,00135;
июнь 2024;413;0,00121;
июль 2024;439;0,00133;
август 2024;449;0,00129;
сентябрь 2024;354;0,00091;
октябрь 2024;329;0,00080;
ноябрь 2024;355;0,00086;
декабрь 2024;279;0,00067;
