Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;751;0,0014;
январь 2018;819;0,0015;
февраль 2018;830;0,0014;
март 2018;808;0,0016;
апрель 2018;917;0,0019;
май 2018;999;0,0022;
июнь 2018;1 011;0,0022;
июль 2018;966;0,0021;
август 2018;919;0,0017;
сентябрь 2018;1 017;0,0017;
октябрь 2018;912;0,0017;
ноябрь 2018;1 049;0,0019;
декабрь 2018;961;0,0017;
январь 2019;1 048;0,0019;
февраль 2019;1 159;0,0020;
март 2019;1 012;0,0019;
апрель 2019;901;0,0018;
май 2019;1 048;0,0023;
июнь 2019;890;0,0019;
июль 2019;1 329;0,0028;
август 2019;1 189;0,0024;
сентябрь 2019;1 257;0,0022;
октябрь 2019;1 390;0,0025;
ноябрь 2019;1 536;0,0026;
декабрь 2019;1 076;0,0017;
январь 2020;1 064;0,0018;
февраль 2020;1 150;0,0017;
март 2020;920;0,0011;
апрель 2020;1 156;0,0015;
май 2020;952;0,0016;
июнь 2020;936;0,0017;
июль 2020;1 085;0,0020;
август 2020;957;0,0016;
сентябрь 2020;1 123;0,0016;
октябрь 2020;1 153;0,0016;
ноябрь 2020;1 201;0,0017;
декабрь 2020;897;0,0013;
январь 2021;900;0,0013;
февраль 2021;1 095;0,0015;
март 2021;1 149;0,0016;
апрель 2021;1 023;0,0014;
май 2021;1 059;0,0015;
июнь 2021;1 295;0,0020;
июль 2021;1 502;0,0022;
август 2021;1 974;0,0027;
сентябрь 2021;3 237;0,0042;
октябрь 2021;2 866;0,0035;
ноябрь 2021;2 841;0,0034;
декабрь 2021;3 199;0,0039;
январь 2022;2 795;0,0033;
февраль 2022;4 509;0,0050;
март 2022;4 279;0,0052;
апрель 2022;4 137;0,0051;
май 2022;3 887;0,0053;
июнь 2022;3 361;0,0046;
июль 2022;3 281;0,0044;
август 2022;3 366;0,0042;
сентябрь 2022;3 102;0,0036;
октябрь 2022;3 069;0,0035;
ноябрь 2022;2 756;0,0030;
декабрь 2022;2 463;0,0028;
январь 2023;2 514;0,0031;
февраль 2023;3 583;0,0040;
март 2023;2 783;0,0034;
апрель 2023;2 553;0,0032;
май 2023;2 560;0,0034;
июнь 2023;2 436;0,0033;
июль 2023;2 865;0,0039;
август 2023;2 175;0,0029;
сентябрь 2023;2 308;0,0027;
октябрь 2023;2 320;0,0027;
ноябрь 2023;2 191;0,0026;
декабрь 2023;1 926;0,0022;
январь 2024;2 012;0,0025;
февраль 2024;2 117;0,0025;
март 2024;1 981;0,0025;
апрель 2024;1 849;0,0025;
май 2024;1 612;0,0024;
июнь 2024;1 836;0,0027;
июль 2024;1 593;0,0023;
август 2024;1 753;0,0026;
сентябрь 2024;1 625;0,0021;
октябрь 2024;1 735;0,0021;
ноябрь 2024;1 999;0,0024;
декабрь 2024;1 922;0,0023;
