Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;594;0,00165;
январь 2018;666;0,00191;
февраль 2018;605;0,00159;
март 2018;658;0,00185;
апрель 2018;627;0,00182;
май 2018;563;0,00189;
июнь 2018;565;0,00211;
июль 2018;644;0,00224;
август 2018;602;0,00171;
сентябрь 2018;640;0,00159;
октябрь 2018;684;0,00188;
ноябрь 2018;613;0,00172;
декабрь 2018;545;0,00147;
январь 2019;732;0,00212;
февраль 2019;693;0,00189;
март 2019;585;0,00167;
апрель 2019;560;0,00166;
май 2019;597;0,00206;
июнь 2019;469;0,00172;
июль 2019;521;0,00187;
август 2019;481;0,00146;
сентябрь 2019;517;0,00137;
октябрь 2019;617;0,00161;
ноябрь 2019;658;0,00168;
декабрь 2019;493;0,00118;
январь 2020;446;0,00112;
февраль 2020;604;0,00136;
март 2020;614;0,00104;
апрель 2020;693;0,00134;
май 2020;563;0,00149;
июнь 2020;530;0,00159;
июль 2020;548;0,00165;
август 2020;540;0,00138;
сентябрь 2020;660;0,00145;
октябрь 2020;630;0,00134;
ноябрь 2020;714;0,00157;
декабрь 2020;530;0,00118;
январь 2021;489;0,00117;
февраль 2021;625;0,00136;
март 2021;656;0,00135;
апрель 2021;691;0,00136;
май 2021;618;0,00146;
июнь 2021;677;0,00192;
июль 2021;616;0,00168;
август 2021;808;0,00173;
сентябрь 2021;801;0,00152;
октябрь 2021;698;0,00130;
ноябрь 2021;795;0,00144;
декабрь 2021;611;0,00109;
январь 2022;746;0,00137;
февраль 2022;1 642;0,00278;
март 2022;1 885;0,00332;
апрель 2022;2 118;0,00383;
май 2022;2 008;0,00435;
июнь 2022;1 531;0,00359;
июль 2022;1 346;0,00317;
август 2022;1 214;0,00234;
сентябрь 2022;1 252;0,00219;
октябрь 2022;1 167;0,00201;
ноябрь 2022;917;0,00158;
декабрь 2022;889;0,00153;
январь 2023;787;0,00147;
февраль 2023;1 092;0,00187;
март 2023;709;0,00127;
апрель 2023;711;0,00134;
май 2023;560;0,00127;
июнь 2023;646;0,00158;
июль 2023;718;0,00178;
август 2023;563;0,00118;
сентябрь 2023;530;0,00100;
октябрь 2023;581;0,00108;
ноябрь 2023;606;0,00111;
декабрь 2023;503;0,00090;
январь 2024;595;0,00115;
февраль 2024;629;0,00115;
март 2024;656;0,00125;
апрель 2024;427;0,00087;
май 2024;537;0,00135;
июнь 2024;336;0,00091;
июль 2024;330;0,00088;
август 2024;440;0,00101;
сентябрь 2024;414;0,00082;
октябрь 2024;391;0,00075;
ноябрь 2024;399;0,00074;
декабрь 2024;364;0,00068;
