Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;238;0,00125;
январь 2018;226;0,00124;
февраль 2018;213;0,00110;
март 2018;143;0,00080;
апрель 2018;195;0,00104;
май 2018;180;0,00114;
июнь 2018;204;0,00120;
июль 2018;233;0,00136;
август 2018;178;0,00093;
сентябрь 2018;276;0,00127;
октябрь 2018;189;0,00093;
ноябрь 2018;235;0,00117;
декабрь 2018;207;0,00103;
январь 2019;180;0,00091;
февраль 2019;211;0,00106;
март 2019;295;0,00149;
апрель 2019;207;0,00111;
май 2019;247;0,00151;
июнь 2019;196;0,00117;
июль 2019;219;0,00130;
август 2019;205;0,00115;
сентябрь 2019;193;0,00094;
октябрь 2019;210;0,00101;
ноябрь 2019;249;0,00112;
декабрь 2019;264;0,00114;
январь 2020;166;0,00074;
февраль 2020;209;0,00086;
март 2020;164;0,00054;
апрель 2020;221;0,00079;
май 2020;199;0,00084;
июнь 2020;229;0,00107;
июль 2020;185;0,00087;
август 2020;221;0,00095;
сентябрь 2020;180;0,00065;
октябрь 2020;228;0,00074;
ноябрь 2020;198;0,00069;
декабрь 2020;184;0,00068;
январь 2021;150;0,00060;
февраль 2021;206;0,00078;
март 2021;215;0,00079;
апрель 2021;193;0,00072;
май 2021;166;0,00066;
июнь 2021;193;0,00081;
июль 2021;186;0,00076;
август 2021;147;0,00056;
сентябрь 2021;243;0,00083;
октябрь 2021;255;0,00085;
ноябрь 2021;266;0,00085;
декабрь 2021;188;0,00060;
январь 2022;262;0,00082;
февраль 2022;521;0,00160;
март 2022;514;0,00167;
апрель 2022;434;0,00147;
май 2022;446;0,00163;
июнь 2022;440;0,00163;
июль 2022;339;0,00125;
август 2022;368;0,00124;
сентябрь 2022;369;0,00114;
октябрь 2022;310;0,00092;
ноябрь 2022;344;0,00102;
декабрь 2022;306;0,00091;
январь 2023;269;0,00086;
февраль 2023;401;0,00120;
март 2023;272;0,00083;
апрель 2023;232;0,00074;
май 2023;242;0,00089;
июнь 2023;225;0,00084;
июль 2023;227;0,00083;
август 2023;253;0,00087;
сентябрь 2023;244;0,00077;
октябрь 2023;221;0,00069;
ноябрь 2023;203;0,00060;
декабрь 2023;255;0,00077;
январь 2024;197;0,00063;
февраль 2024;249;0,00080;
март 2024;208;0,00070;
апрель 2024;179;0,00064;
май 2024;190;0,00078;
июнь 2024;190;0,00077;
июль 2024;185;0,00075;
август 2024;207;0,00078;
сентябрь 2024;168;0,00056;
октябрь 2024;180;0,00058;
ноябрь 2024;206;0,00064;
декабрь 2024;180;0,00056;
