Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;372;0,00099;
январь 2018;427;0,00114;
февраль 2018;423;0,00103;
март 2018;483;0,00126;
апрель 2018;459;0,00122;
май 2018;427;0,00131;
июнь 2018;421;0,00140;
июль 2018;562;0,00181;
август 2018;471;0,00125;
сентябрь 2018;439;0,00099;
октябрь 2018;432;0,00108;
ноябрь 2018;478;0,00120;
декабрь 2018;413;0,00100;
январь 2019;402;0,00102;
февраль 2019;516;0,00126;
март 2019;533;0,00133;
апрель 2019;545;0,00145;
май 2019;497;0,00154;
июнь 2019;487;0,00160;
июль 2019;368;0,00122;
август 2019;411;0,00121;
сентябрь 2019;439;0,00110;
октябрь 2019;448;0,00112;
ноябрь 2019;482;0,00118;
декабрь 2019;530;0,00128;
январь 2020;417;0,00103;
февраль 2020;408;0,00089;
март 2020;429;0,00074;
апрель 2020;475;0,00089;
май 2020;350;0,00088;
июнь 2020;409;0,00119;
июль 2020;417;0,00122;
август 2020;390;0,00099;
сентябрь 2020;413;0,00090;
октябрь 2020;408;0,00085;
ноябрь 2020;435;0,00093;
декабрь 2020;318;0,00069;
январь 2021;373;0,00082;
февраль 2021;441;0,00095;
март 2021;459;0,00093;
апрель 2021;424;0,00086;
май 2021;382;0,00087;
июнь 2021;383;0,00102;
июль 2021;316;0,00082;
август 2021;373;0,00079;
сентябрь 2021;372;0,00069;
октябрь 2021;443;0,00081;
ноябрь 2021;530;0,00095;
декабрь 2021;483;0,00086;
январь 2022;436;0,00080;
февраль 2022;1 129;0,00192;
март 2022;1 224;0,00216;
апрель 2022;1 331;0,00243;
май 2022;1 062;0,00228;
июнь 2022;967;0,00226;
июль 2022;888;0,00206;
август 2022;950;0,00188;
сентябрь 2022;884;0,00156;
октябрь 2022;818;0,00143;
ноябрь 2022;865;0,00151;
декабрь 2022;761;0,00133;
январь 2023;558;0,00105;
февраль 2023;827;0,00142;
март 2023;632;0,00113;
апрель 2023;600;0,00113;
май 2023;528;0,00116;
июнь 2023;616;0,00145;
июль 2023;540;0,00131;
август 2023;602;0,00129;
сентябрь 2023;463;0,00087;
октябрь 2023;434;0,00082;
ноябрь 2023;462;0,00085;
декабрь 2023;411;0,00075;
январь 2024;426;0,00083;
февраль 2024;424;0,00081;
март 2024;495;0,00097;
апрель 2024;490;0,00099;
май 2024;447;0,00112;
июнь 2024;446;0,00119;
июль 2024;317;0,00085;
август 2024;308;0,00073;
сентябрь 2024;355;0,00072;
октябрь 2024;395;0,00077;
ноябрь 2024;426;0,00080;
декабрь 2024;334;0,00065;
