Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Дагестан, все устройства
декабрь 2017;572;0,00122;
январь 2018;488;0,00106;
февраль 2018;561;0,00115;
март 2018;549;0,00127;
апрель 2018;679;0,00158;
май 2018;756;0,00189;
июнь 2018;819;0,00200;
июль 2018;791;0,00195;
август 2018;736;0,00165;
сентябрь 2018;864;0,00171;
октябрь 2018;814;0,00168;
ноябрь 2018;693;0,00135;
декабрь 2018;767;0,00142;
январь 2019;744;0,00148;
февраль 2019;853;0,00163;
март 2019;759;0,00153;
апрель 2019;767;0,00162;
май 2019;665;0,00161;
июнь 2019;719;0,00172;
июль 2019;696;0,00169;
август 2019;708;0,00154;
сентябрь 2019;653;0,00131;
октябрь 2019;802;0,00154;
ноябрь 2019;910;0,00158;
декабрь 2019;826;0,00134;
январь 2020;757;0,00130;
февраль 2020;912;0,00149;
март 2020;949;0,00112;
апрель 2020;1 405;0,00190;
май 2020;1 734;0,00303;
июнь 2020;1 660;0,00327;
июль 2020;1 362;0,00271;
август 2020;1 282;0,00229;
сентябрь 2020;1 188;0,00178;
октябрь 2020;1 040;0,00149;
ноябрь 2020;945;0,00143;
декабрь 2020;567;0,00089;
январь 2021;654;0,00110;
февраль 2021;736;0,00118;
март 2021;773;0,00126;
апрель 2021;624;0,00103;
май 2021;685;0,00117;
июнь 2021;812;0,00144;
июль 2021;698;0,00121;
август 2021;606;0,00094;
сентябрь 2021;910;0,00127;
октябрь 2021;928;0,00130;
ноябрь 2021;1 040;0,00136;
декабрь 2021;695;0,00088;
январь 2022;861;0,00115;
февраль 2022;1 726;0,00209;
март 2022;2 856;0,00381;
апрель 2022;3 661;0,00497;
май 2022;3 725;0,00556;
июнь 2022;2 885;0,00428;
июль 2022;2 283;0,00331;
август 2022;2 192;0,00294;
сентябрь 2022;2 352;0,00291;
октябрь 2022;1 996;0,00247;
ноябрь 2022;1 525;0,00183;
декабрь 2022;1 157;0,00142;
январь 2023;1 258;0,00166;
февраль 2023;1 514;0,00194;
март 2023;1 114;0,00150;
апрель 2023;939;0,00127;
май 2023;991;0,00150;
июнь 2023;1 159;0,00171;
июль 2023;1 026;0,00150;
август 2023;955;0,00132;
сентябрь 2023;905;0,00117;
октябрь 2023;940;0,00122;
ноябрь 2023;938;0,00115;
декабрь 2023;864;0,00105;
январь 2024;934;0,00125;
февраль 2024;1 006;0,00133;
март 2024;765;0,00116;
апрель 2024;789;0,00114;
май 2024;739;0,00121;
июнь 2024;830;0,00132;
июль 2024;11 133;0,01622;
август 2024;6 329;0,00957;
сентябрь 2024;6 645;0,00909;
октябрь 2024;7 956;0,00944;
ноябрь 2024;1 000;0,00122;
декабрь 2024;782;0,00099;
