Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;212;0,00083;
январь 2018;221;0,00090;
февраль 2018;230;0,00088;
март 2018;250;0,00104;
апрель 2018;290;0,00120;
май 2018;269;0,00124;
июнь 2018;265;0,00120;
июль 2018;252;0,00115;
август 2018;300;0,00120;
сентябрь 2018;331;0,00112;
октябрь 2018;273;0,00099;
ноябрь 2018;289;0,00106;
декабрь 2018;280;0,00102;
январь 2019;272;0,00101;
февраль 2019;259;0,00093;
март 2019;339;0,00126;
апрель 2019;255;0,00100;
май 2019;335;0,00148;
июнь 2019;275;0,00129;
июль 2019;273;0,00127;
август 2019;290;0,00123;
сентябрь 2019;279;0,00100;
октябрь 2019;236;0,00085;
ноябрь 2019;375;0,00124;
декабрь 2019;276;0,00090;
январь 2020;211;0,00070;
февраль 2020;248;0,00076;
март 2020;346;0,00076;
апрель 2020;306;0,00081;
май 2020;264;0,00088;
июнь 2020;283;0,00106;
июль 2020;255;0,00095;
август 2020;208;0,00066;
сентябрь 2020;225;0,00053;
октябрь 2020;210;0,00050;
ноябрь 2020;248;0,00063;
декабрь 2020;243;0,00067;
январь 2021;193;0,00059;
февраль 2021;258;0,00073;
март 2021;225;0,00059;
апрель 2021;291;0,00073;
май 2021;293;0,00080;
июнь 2021;311;0,00098;
июль 2021;337;0,00109;
август 2021;384;0,00103;
сентябрь 2021;341;0,00080;
октябрь 2021;292;0,00066;
ноябрь 2021;390;0,00081;
декабрь 2021;322;0,00069;
январь 2022;415;0,00087;
февраль 2022;928;0,00192;
март 2022;895;0,00192;
апрель 2022;738;0,00166;
май 2022;694;0,00175;
июнь 2022;579;0,00151;
июль 2022;649;0,00170;
август 2022;680;0,00154;
сентябрь 2022;676;0,00139;
октябрь 2022;698;0,00139;
ноябрь 2022;531;0,00104;
декабрь 2022;432;0,00086;
январь 2023;396;0,00087;
февраль 2023;542;0,00108;
март 2023;402;0,00083;
апрель 2023;348;0,00075;
май 2023;321;0,00082;
июнь 2023;365;0,00095;
июль 2023;329;0,00085;
август 2023;408;0,00095;
сентябрь 2023;390;0,00081;
октябрь 2023;330;0,00069;
ноябрь 2023;339;0,00067;
декабрь 2023;262;0,00053;
январь 2024;346;0,00075;
февраль 2024;483;0,00105;
март 2024;369;0,00083;
апрель 2024;272;0,00065;
май 2024;332;0,00093;
июнь 2024;319;0,00091;
июль 2024;248;0,00070;
август 2024;307;0,00078;
сентябрь 2024;301;0,00067;
октябрь 2024;238;0,00051;
ноябрь 2024;314;0,00064;
декабрь 2024;247;0,00052;
