Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;347;0,0018;
январь 2018;339;0,0019;
февраль 2018;454;0,0023;
март 2018;309;0,0019;
апрель 2018;368;0,0021;
май 2018;370;0,0023;
июнь 2018;537;0,0033;
июль 2018;582;0,0036;
август 2018;504;0,0029;
сентябрь 2018;486;0,0025;
октябрь 2018;596;0,0032;
ноябрь 2018;611;0,0032;
декабрь 2018;565;0,0028;
январь 2019;497;0,0026;
февраль 2019;537;0,0026;
март 2019;528;0,0028;
апрель 2019;545;0,0030;
май 2019;621;0,0037;
июнь 2019;510;0,0030;
июль 2019;532;0,0033;
август 2019;535;0,0031;
сентябрь 2019;627;0,0033;
октябрь 2019;611;0,0031;
ноябрь 2019;596;0,0028;
декабрь 2019;534;0,0024;
январь 2020;571;0,0027;
февраль 2020;546;0,0025;
март 2020;500;0,0018;
апрель 2020;826;0,0032;
май 2020;711;0,0034;
июнь 2020;614;0,0031;
июль 2020;570;0,0029;
август 2020;591;0,0029;
сентябрь 2020;541;0,0023;
октябрь 2020;555;0,0022;
ноябрь 2020;573;0,0023;
декабрь 2020;525;0,0022;
январь 2021;511;0,0023;
февраль 2021;620;0,0026;
март 2021;588;0,0024;
апрель 2021;659;0,0027;
май 2021;551;0,0023;
июнь 2021;510;0,0023;
июль 2021;611;0,0028;
август 2021;575;0,0023;
сентябрь 2021;980;0,0035;
октябрь 2021;951;0,0033;
ноябрь 2021;787;0,0027;
декабрь 2021;752;0,0024;
январь 2022;707;0,0024;
февраль 2022;1 628;0,0051;
март 2022;1 686;0,0058;
апрель 2022;2 622;0,0088;
май 2022;2 284;0,0085;
июнь 2022;1 458;0,0055;
июль 2022;1 408;0,0053;
август 2022;1 278;0,0046;
сентябрь 2022;1 254;0,0040;
октябрь 2022;1 186;0,0036;
ноябрь 2022;1 164;0,0035;
декабрь 2022;984;0,0030;
январь 2023;1 030;0,0034;
февраль 2023;1 018;0,0032;
март 2023;825;0,0027;
апрель 2023;816;0,0027;
май 2023;750;0,0028;
июнь 2023;808;0,0031;
июль 2023;1 043;0,0040;
август 2023;749;0,0027;
сентябрь 2023;661;0,0021;
октябрь 2023;784;0,0024;
ноябрь 2023;835;0,0025;
декабрь 2023;776;0,0023;
январь 2024;740;0,0025;
февраль 2024;831;0,0027;
март 2024;670;0,0024;
апрель 2024;671;0,0024;
май 2024;644;0,0026;
июнь 2024;623;0,0025;
июль 2024;669;0,0027;
август 2024;610;0,0024;
сентябрь 2024;509;0,0018;
октябрь 2024;579;0,0020;
ноябрь 2024;633;0,0020;
декабрь 2024;428;0,0014;
