Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;923;0,0015;
январь 2018;943;0,0015;
февраль 2018;1 054;0,0016;
март 2018;1 010;0,0017;
апрель 2018;1 074;0,0018;
май 2018;1 051;0,0019;
июнь 2018;1 104;0,0020;
июль 2018;1 111;0,0020;
август 2018;1 247;0,0019;
сентябрь 2018;1 385;0,0018;
октябрь 2018;1 427;0,0021;
ноябрь 2018;1 298;0,0019;
декабрь 2018;1 280;0,0018;
январь 2019;1 365;0,0020;
февраль 2019;1 302;0,0018;
март 2019;1 207;0,0018;
апрель 2019;1 234;0,0019;
май 2019;1 448;0,0024;
июнь 2019;1 149;0,0018;
июль 2019;1 136;0,0018;
август 2019;1 232;0,0018;
сентябрь 2019;1 244;0,0017;
октябрь 2019;1 131;0,0015;
ноябрь 2019;1 440;0,0019;
декабрь 2019;1 009;0,0013;
январь 2020;931;0,0012;
февраль 2020;1 079;0,0013;
март 2020;1 031;0,0010;
апрель 2020;1 237;0,0013;
май 2020;1 128;0,0015;
июнь 2020;1 122;0,0016;
июль 2020;1 155;0,0017;
август 2020;987;0,0013;
сентябрь 2020;1 074;0,0012;
октябрь 2020;1 099;0,0012;
ноябрь 2020;1 089;0,0013;
декабрь 2020;988;0,0012;
январь 2021;1 021;0,0012;
февраль 2021;1 293;0,0014;
март 2021;1 390;0,0015;
апрель 2021;1 244;0,0013;
май 2021;1 197;0,0014;
июнь 2021;1 236;0,0015;
июль 2021;1 197;0,0014;
август 2021;1 241;0,0013;
сентябрь 2021;1 322;0,0013;
октябрь 2021;1 281;0,0012;
ноябрь 2021;1 443;0,0014;
декабрь 2021;1 519;0,0014;
январь 2022;1 738;0,0017;
февраль 2022;3 542;0,0031;
март 2022;3 132;0,0029;
апрель 2022;3 205;0,0030;
май 2022;2 754;0,0029;
июнь 2022;2 250;0,0025;
июль 2022;2 401;0,0026;
август 2022;2 565;0,0025;
сентябрь 2022;2 666;0,0024;
октябрь 2022;2 120;0,0019;
ноябрь 2022;2 062;0,0019;
декабрь 2022;1 713;0,0015;
январь 2023;1 713;0,0017;
февраль 2023;2 360;0,0021;
март 2023;1 858;0,0018;
апрель 2023;1 708;0,0017;
май 2023;1 494;0,0016;
июнь 2023;1 653;0,0018;
июль 2023;1 712;0,0019;
август 2023;2 584;0,0027;
сентябрь 2023;3 602;0,0034;
октябрь 2023;2 173;0,0021;
ноябрь 2023;1 744;0,0017;
декабрь 2023;1 591;0,0015;
январь 2024;1 723;0,0017;
февраль 2024;1 747;0,0017;
март 2024;1 576;0,0016;
апрель 2024;1 459;0,0016;
май 2024;1 458;0,0018;
июнь 2024;1 334;0,0016;
июль 2024;1 349;0,0016;
август 2024;1 839;0,0021;
сентябрь 2024;1 590;0,0016;
октябрь 2024;1 505;0,0015;
ноябрь 2024;1 807;0,0017;
декабрь 2024;1 745;0,0016;
