Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;1 413;0,00159;
январь 2018;1 294;0,00149;
февраль 2018;1 591;0,00169;
март 2018;1 566;0,00193;
апрель 2018;1 558;0,00185;
май 2018;1 702;0,00217;
июнь 2018;1 829;0,00223;
июль 2018;2 054;0,00250;
август 2018;2 006;0,00223;
сентябрь 2018;1 926;0,00193;
октябрь 2018;1 916;0,00202;
ноябрь 2018;2 014;0,00204;
декабрь 2018;1 949;0,00188;
январь 2019;1 914;0,00197;
февраль 2019;2 121;0,00207;
март 2019;2 112;0,00217;
апрель 2019;2 113;0,00229;
май 2019;2 145;0,00249;
июнь 2019;2 044;0,00231;
июль 2019;2 016;0,00233;
август 2019;1 809;0,00197;
сентябрь 2019;1 803;0,00180;
октябрь 2019;1 703;0,00163;
ноябрь 2019;2 165;0,00197;
декабрь 2019;1 755;0,00153;
январь 2020;1 752;0,00160;
февраль 2020;2 076;0,00173;
март 2020;1 706;0,00113;
апрель 2020;2 137;0,00150;
май 2020;2 346;0,00207;
июнь 2020;2 172;0,00204;
июль 2020;2 217;0,00210;
август 2020;1 882;0,00162;
сентябрь 2020;2 011;0,00154;
октябрь 2020;2 178;0,00158;
ноябрь 2020;2 172;0,00156;
декабрь 2020;1 970;0,00152;
январь 2021;1 795;0,00149;
февраль 2021;2 341;0,00177;
март 2021;2 140;0,00165;
апрель 2021;1 740;0,00141;
май 2021;1 974;0,00161;
июнь 2021;2 118;0,00175;
июль 2021;2 162;0,00176;
август 2021;2 020;0,00158;
сентябрь 2021;1 908;0,00141;
октябрь 2021;1 828;0,00129;
ноябрь 2021;1 984;0,00140;
декабрь 2021;1 585;0,00109;
январь 2022;2 174;0,00156;
февраль 2022;5 230;0,00338;
март 2022;4 984;0,00350;
апрель 2022;5 782;0,00395;
май 2022;5 212;0,00387;
июнь 2022;4 232;0,00316;
июль 2022;3 970;0,00293;
август 2022;3 986;0,00274;
сентябрь 2022;3 949;0,00253;
октябрь 2022;3 326;0,00210;
ноябрь 2022;2 999;0,00188;
декабрь 2022;2 550;0,00160;
январь 2023;2 593;0,00178;
февраль 2023;3 591;0,00228;
март 2023;2 549;0,00171;
апрель 2023;2 388;0,00160;
май 2023;2 292;0,00170;
июнь 2023;2 678;0,00201;
июль 2023;2 725;0,00207;
август 2023;2 182;0,00159;
сентябрь 2023;2 195;0,00149;
октябрь 2023;2 050;0,00138;
ноябрь 2023;1 859;0,00124;
декабрь 2023;1 877;0,00123;
январь 2024;1 894;0,00134;
февраль 2024;2 222;0,00153;
март 2024;2 078;0,00155;
апрель 2024;1 770;0,00131;
май 2024;2 105;0,00175;
июнь 2024;2 221;0,00182;
июль 2024;2 368;0,00194;
август 2024;1 665;0,00129;
сентябрь 2024;1 483;0,00105;
октябрь 2024;1 442;0,00099;
ноябрь 2024;1 676;0,00110;
декабрь 2024;1 591;0,00105;
