Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;1 200;0,00109;
январь 2018;1 253;0,00113;
февраль 2018;1 390;0,00117;
март 2018;1 349;0,00123;
апрель 2018;1 443;0,00133;
май 2018;1 452;0,00149;
июнь 2018;1 456;0,00159;
июль 2018;1 502;0,00157;
август 2018;1 504;0,00137;
сентябрь 2018;1 643;0,00126;
октябрь 2018;1 375;0,00119;
ноябрь 2018;1 678;0,00148;
декабрь 2018;1 506;0,00130;
январь 2019;1 545;0,00133;
февраль 2019;1 859;0,00158;
март 2019;1 799;0,00158;
апрель 2019;1 726;0,00167;
май 2019;2 038;0,00214;
июнь 2019;1 805;0,00193;
июль 2019;1 699;0,00174;
август 2019;1 707;0,00167;
сентябрь 2019;1 857;0,00156;
октябрь 2019;1 750;0,00149;
ноябрь 2019;2 395;0,00198;
декабрь 2019;1 809;0,00148;
январь 2020;2 554;0,00215;
февраль 2020;2 224;0,00172;
март 2020;1 644;0,00095;
апрель 2020;1 586;0,00113;
май 2020;1 656;0,00136;
июнь 2020;1 480;0,00137;
июль 2020;1 482;0,00135;
август 2020;1 466;0,00120;
сентябрь 2020;1 398;0,00099;
октябрь 2020;1 745;0,00113;
ноябрь 2020;1 535;0,00100;
декабрь 2020;1 287;0,00094;
январь 2021;1 351;0,00099;
февраль 2021;1 636;0,00113;
март 2021;1 626;0,00108;
апрель 2021;1 495;0,00102;
май 2021;1 416;0,00103;
июнь 2021;1 363;0,00108;
июль 2021;1 348;0,00108;
август 2021;1 685;0,00112;
сентябрь 2021;1 465;0,00089;
октябрь 2021;1 537;0,00091;
ноябрь 2021;1 707;0,00098;
декабрь 2021;1 664;0,00097;
январь 2022;1 919;0,00111;
февраль 2022;4 569;0,00246;
март 2022;4 170;0,00236;
апрель 2022;4 130;0,00243;
май 2022;4 198;0,00271;
июнь 2022;3 597;0,00254;
июль 2022;3 195;0,00221;
август 2022;3 456;0,00209;
сентябрь 2022;3 842;0,00214;
октябрь 2022;3 124;0,00172;
ноябрь 2022;2 410;0,00131;
декабрь 2022;2 003;0,00111;
январь 2023;2 082;0,00124;
февраль 2023;2 839;0,00154;
март 2023;1 994;0,00115;
апрель 2023;1 895;0,00115;
май 2023;1 917;0,00127;
июнь 2023;1 858;0,00130;
июль 2023;1 995;0,00140;
август 2023;1 715;0,00110;
сентябрь 2023;1 714;0,00098;
октябрь 2023;1 786;0,00103;
ноябрь 2023;1 553;0,00087;
декабрь 2023;1 346;0,00077;
январь 2024;1 458;0,00088;
февраль 2024;1 710;0,00101;
март 2024;1 662;0,00102;
апрель 2024;1 511;0,00095;
май 2024;1 313;0,00099;
июнь 2024;1 237;0,00093;
июль 2024;1 614;0,00122;
август 2024;1 628;0,00113;
сентябрь 2024;1 995;0,00121;
октябрь 2024;1 095;0,00064;
ноябрь 2024;1 388;0,00079;
декабрь 2024;1 176;0,00069;
