Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;672;0,00140;
январь 2018;613;0,00131;
февраль 2018;655;0,00130;
март 2018;679;0,00148;
апрель 2018;669;0,00155;
май 2018;839;0,00208;
июнь 2018;691;0,00172;
июль 2018;747;0,00183;
август 2018;874;0,00186;
сентябрь 2018;844;0,00158;
октябрь 2018;671;0,00137;
ноябрь 2018;945;0,00192;
декабрь 2018;936;0,00184;
январь 2019;871;0,00181;
февраль 2019;977;0,00189;
март 2019;911;0,00193;
апрель 2019;803;0,00182;
май 2019;980;0,00246;
июнь 2019;790;0,00197;
июль 2019;720;0,00177;
август 2019;769;0,00175;
сентябрь 2019;724;0,00141;
октябрь 2019;780;0,00150;
ноябрь 2019;1 093;0,00198;
декабрь 2019;755;0,00131;
январь 2020;740;0,00130;
февраль 2020;867;0,00143;
март 2020;792;0,00105;
апрель 2020;840;0,00139;
май 2020;780;0,00139;
июнь 2020;716;0,00146;
июль 2020;690;0,00136;
август 2020;719;0,00121;
сентябрь 2020;787;0,00117;
октябрь 2020;891;0,00124;
ноябрь 2020;933;0,00131;
декабрь 2020;680;0,00101;
январь 2021;729;0,00115;
февраль 2021;753;0,00108;
март 2021;781;0,00117;
апрель 2021;743;0,00116;
май 2021;734;0,00120;
июнь 2021;667;0,00119;
июль 2021;689;0,00117;
август 2021;735;0,00109;
сентябрь 2021;686;0,00094;
октябрь 2021;660;0,00087;
ноябрь 2021;907;0,00116;
декабрь 2021;799;0,00104;
январь 2022;787;0,00098;
февраль 2022;2 101;0,00249;
март 2022;1 973;0,00257;
апрель 2022;2 265;0,00294;
май 2022;1 979;0,00292;
июнь 2022;1 676;0,00252;
июль 2022;1 527;0,00234;
август 2022;1 622;0,00218;
сентябрь 2022;2 008;0,00252;
октябрь 2022;1 472;0,00181;
ноябрь 2022;1 194;0,00144;
декабрь 2022;1 177;0,00143;
январь 2023;911;0,00122;
февраль 2023;1 299;0,00157;
март 2023;929;0,00127;
апрель 2023;922;0,00125;
май 2023;897;0,00135;
июнь 2023;924;0,00142;
июль 2023;1 044;0,00163;
август 2023;769;0,00110;
сентябрь 2023;869;0,00111;
октябрь 2023;800;0,00104;
ноябрь 2023;868;0,00111;
декабрь 2023;736;0,00093;
январь 2024;718;0,00099;
февраль 2024;880;0,00114;
март 2024;754;0,00110;
апрель 2024;638;0,00092;
май 2024;735;0,00121;
июнь 2024;553;0,00092;
июль 2024;688;0,00113;
август 2024;660;0,00104;
сентябрь 2024;542;0,00073;
октябрь 2024;543;0,00071;
ноябрь 2024;618;0,00078;
декабрь 2024;580;0,00072;
