Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;1 457;0,0019;
январь 2018;1 729;0,0023;
февраль 2018;1 876;0,0024;
март 2018;1 672;0,0023;
апрель 2018;1 643;0,0022;
май 2018;1 665;0,0028;
июнь 2018;1 752;0,0032;
июль 2018;1 885;0,0033;
август 2018;1 759;0,0025;
сентябрь 2018;1 875;0,0023;
октябрь 2018;1 873;0,0024;
ноябрь 2018;2 267;0,0029;
декабрь 2018;1 983;0,0025;
январь 2019;2 085;0,0026;
февраль 2019;2 538;0,0032;
март 2019;2 284;0,0030;
апрель 2019;1 822;0,0025;
май 2019;1 902;0,0032;
июнь 2019;1 764;0,0033;
июль 2019;1 533;0,0028;
август 2019;1 599;0,0024;
сентябрь 2019;1 713;0,0022;
октябрь 2019;1 717;0,0021;
ноябрь 2019;2 566;0,0030;
декабрь 2019;1 399;0,0016;
январь 2020;1 336;0,0015;
февраль 2020;1 707;0,0018;
март 2020;1 733;0,0014;
апрель 2020;1 939;0,0018;
май 2020;1 951;0,0023;
июнь 2020;1 797;0,0025;
июль 2020;1 571;0,0022;
август 2020;1 541;0,0018;
сентябрь 2020;1 519;0,0014;
октябрь 2020;1 730;0,0014;
ноябрь 2020;1 883;0,0017;
декабрь 2020;1 357;0,0013;
январь 2021;1 409;0,0014;
февраль 2021;1 654;0,0017;
март 2021;1 812;0,0018;
апрель 2021;1 606;0,0016;
май 2021;1 511;0,0017;
июнь 2021;1 575;0,0020;
июль 2021;4 616;0,0059;
август 2021;18 036;0,0191;
сентябрь 2021;1 807;0,0016;
октябрь 2021;1 656;0,0014;
ноябрь 2021;2 178;0,0018;
декабрь 2021;1 839;0,0015;
январь 2022;1 645;0,0014;
февраль 2022;4 405;0,0036;
март 2022;4 350;0,0037;
апрель 2022;4 527;0,0040;
май 2022;4 440;0,0045;
июнь 2022;3 841;0,0044;
июль 2022;2 978;0,0032;
август 2022;3 096;0,0028;
сентябрь 2022;3 338;0,0028;
октябрь 2022;3 303;0,0026;
ноябрь 2022;2 966;0,0023;
декабрь 2022;2 311;0,0018;
январь 2023;2 277;0,0020;
февраль 2023;3 359;0,0027;
март 2023;2 441;0,0020;
апрель 2023;2 183;0,0019;
май 2023;2 045;0,0021;
июнь 2023;2 100;0,0024;
июль 2023;2 180;0,0025;
август 2023;1 761;0,0017;
сентябрь 2023;1 872;0,0016;
октябрь 2023;2 092;0,0018;
ноябрь 2023;1 889;0,0015;
декабрь 2023;1 612;0,0013;
январь 2024;1 707;0,0015;
февраль 2024;1 753;0,0015;
март 2024;1 567;0,0013;
апрель 2024;1 633;0,0015;
май 2024;1 516;0,0018;
июнь 2024;1 496;0,0019;
июль 2024;1 325;0,0017;
август 2024;1 253;0,0013;
сентябрь 2024;1 096;0,0010;
октябрь 2024;1 279;0,0011;
ноябрь 2024;1 332;0,0011;
декабрь 2024;1 363;0,0011;
