Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;1 285;0,0017;
январь 2018;1 368;0,0019;
февраль 2018;1 393;0,0018;
март 2018;1 351;0,0019;
апрель 2018;1 499;0,0021;
май 2018;1 469;0,0023;
июнь 2018;1 610;0,0026;
июль 2018;1 845;0,0029;
август 2018;1 716;0,0022;
сентябрь 2018;1 605;0,0019;
октябрь 2018;1 499;0,0019;
ноябрь 2018;1 760;0,0022;
декабрь 2018;1 522;0,0019;
январь 2019;1 675;0,0021;
февраль 2019;1 642;0,0021;
март 2019;1 830;0,0023;
апрель 2019;1 594;0,0022;
май 2019;1 856;0,0028;
июнь 2019;1 566;0,0025;
июль 2019;1 377;0,0022;
август 2019;1 459;0,0020;
сентябрь 2019;1 627;0,0020;
октябрь 2019;1 407;0,0017;
ноябрь 2019;2 067;0,0024;
декабрь 2019;1 421;0,0016;
январь 2020;1 292;0,0014;
февраль 2020;1 434;0,0015;
март 2020;1 394;0,0012;
апрель 2020;1 298;0,0013;
май 2020;1 547;0,0018;
июнь 2020;1 372;0,0017;
июль 2020;1 318;0,0017;
август 2020;1 292;0,0014;
сентябрь 2020;1 444;0,0014;
октябрь 2020;1 377;0,0012;
ноябрь 2020;1 494;0,0013;
декабрь 2020;1 316;0,0013;
январь 2021;1 186;0,0012;
февраль 2021;1 317;0,0013;
март 2021;1 319;0,0012;
апрель 2021;1 281;0,0013;
май 2021;1 403;0,0014;
июнь 2021;1 620;0,0017;
июль 2021;1 339;0,0014;
август 2021;1 538;0,0015;
сентябрь 2021;1 600;0,0014;
октябрь 2021;1 416;0,0011;
ноябрь 2021;1 792;0,0015;
декабрь 2021;1 582;0,0013;
январь 2022;1 661;0,0013;
февраль 2022;3 732;0,0029;
март 2022;4 100;0,0034;
апрель 2022;4 048;0,0034;
май 2022;3 718;0,0034;
июнь 2022;3 582;0,0035;
июль 2022;3 224;0,0031;
август 2022;3 214;0,0027;
сентябрь 2022;3 601;0,0028;
октябрь 2022;3 101;0,0024;
ноябрь 2022;2 637;0,0019;
декабрь 2022;2 384;0,0018;
январь 2023;2 158;0,0018;
февраль 2023;3 098;0,0024;
март 2023;2 365;0,0019;
апрель 2023;1 895;0,0016;
май 2023;1 874;0,0017;
июнь 2023;1 903;0,0018;
июль 2023;2 081;0,0020;
август 2023;1 695;0,0014;
сентябрь 2023;1 700;0,0013;
октябрь 2023;1 790;0,0014;
ноябрь 2023;1 812;0,0014;
декабрь 2023;1 707;0,0013;
январь 2024;1 590;0,0013;
февраль 2024;1 934;0,0015;
март 2024;1 941;0,0016;
апрель 2024;1 593;0,0013;
май 2024;1 590;0,0016;
июнь 2024;1 488;0,0015;
июль 2024;1 687;0,0017;
август 2024;1 686;0,0015;
сентябрь 2024;1 339;0,0011;
октябрь 2024;1 480;0,0012;
ноябрь 2024;1 597;0,0012;
декабрь 2024;1 280;0,0010;
