Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;3 085;0,0017;
январь 2018;3 335;0,0017;
февраль 2018;3 648;0,0018;
март 2018;3 280;0,0019;
апрель 2018;3 604;0,0020;
май 2018;3 522;0,0021;
июнь 2018;3 662;0,0021;
июль 2018;3 973;0,0023;
август 2018;3 959;0,0020;
сентябрь 2018;3 999;0,0017;
октябрь 2018;3 566;0,0017;
ноябрь 2018;4 247;0,0019;
декабрь 2018;4 382;0,0019;
январь 2019;4 557;0,0021;
февраль 2019;4 708;0,0021;
март 2019;4 771;0,0023;
апрель 2019;4 740;0,0023;
май 2019;4 986;0,0026;
июнь 2019;4 706;0,0024;
июль 2019;4 122;0,0021;
август 2019;3 911;0,0020;
сентябрь 2019;3 842;0,0018;
октябрь 2019;3 744;0,0018;
ноябрь 2019;4 759;0,0021;
декабрь 2019;3 716;0,0016;
январь 2020;3 578;0,0016;
февраль 2020;3 842;0,0017;
март 2020;3 837;0,0013;
апрель 2020;4 111;0,0014;
май 2020;3 919;0,0018;
июнь 2020;4 206;0,0020;
июль 2020;4 100;0,0019;
август 2020;3 622;0,0016;
сентябрь 2020;3 551;0,0014;
октябрь 2020;3 737;0,0014;
ноябрь 2020;4 126;0,0016;
декабрь 2020;3 471;0,0013;
январь 2021;3 271;0,0013;
февраль 2021;4 141;0,0015;
март 2021;4 022;0,0015;
апрель 2021;3 904;0,0015;
май 2021;3 777;0,0015;
июнь 2021;4 025;0,0016;
июль 2021;3 745;0,0015;
август 2021;3 322;0,0013;
сентябрь 2021;4 202;0,0015;
октябрь 2021;4 615;0,0016;
ноябрь 2021;4 751;0,0016;
декабрь 2021;3 858;0,0013;
январь 2022;4 469;0,0016;
февраль 2022;11 804;0,0038;
март 2022;10 424;0,0036;
апрель 2022;10 796;0,0037;
май 2022;10 046;0,0038;
июнь 2022;8 753;0,0033;
июль 2022;8 257;0,0030;
август 2022;7 988;0,0028;
сентябрь 2022;8 379;0,0027;
октябрь 2022;6 885;0,0022;
ноябрь 2022;6 391;0,0020;
декабрь 2022;5 424;0,0017;
январь 2023;5 469;0,0019;
февраль 2023;7 377;0,0023;
март 2023;5 253;0,0017;
апрель 2023;4 905;0,0016;
май 2023;4 780;0,0017;
июнь 2023;5 004;0,0018;
июль 2023;5 489;0,0020;
август 2023;4 459;0,0015;
сентябрь 2023;4 269;0,0014;
октябрь 2023;4 255;0,0014;
ноябрь 2023;4 154;0,0013;
декабрь 2023;4 037;0,0012;
январь 2024;4 034;0,0013;
февраль 2024;4 305;0,0014;
март 2024;4 079;0,0014;
апрель 2024;3 832;0,0013;
май 2024;3 763;0,0015;
июнь 2024;3 826;0,0015;
июль 2024;4 082;0,0016;
август 2024;3 861;0,0014;
сентябрь 2024;3 254;0,0011;
октябрь 2024;4 768;0,0015;
ноябрь 2024;3 441;0,0011;
декабрь 2024;3 265;0,0010;
