Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;3;0,00000148;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;4;0,00000248;
июль 2018;2;0,00000122;
август 2018;3;0,00000160;
сентябрь 2018;1;0,00000045;
октябрь 2018;2;0,00000101;
ноябрь 2018;2;0,00000093;
декабрь 2018;0;0;
январь 2019;2;0,00000095;
февраль 2019;2;0,00000092;
март 2019;2;0,00000096;
апрель 2019;5;0,00000246;
май 2019;3;0,00000163;
июнь 2019;0;0;
июль 2019;2;0,00000113;
август 2019;2;0,00000105;
сентябрь 2019;0;0;
октябрь 2019;2;0,00000096;
ноябрь 2019;1;0,00000045;
декабрь 2019;2;0,00000087;
январь 2020;1;0,00000045;
февраль 2020;5;0,00000213;
март 2020;0;0;
апрель 2020;2;0,00000078;
май 2020;12;0,00000591;
июнь 2020;2;0,00000101;
июль 2020;0;0;
август 2020;2;0,00000088;
сентябрь 2020;4;0,00000158;
октябрь 2020;3;0,00000112;
ноябрь 2020;3;0,00000112;
декабрь 2020;9;0,00000359;
январь 2021;2;0,00000084;
февраль 2021;2;0,00000077;
март 2021;2;0,00000080;
апрель 2021;3;0,00000132;
май 2021;3;0,00000135;
июнь 2021;2;0,00000089;
июль 2021;1;0,00000043;
август 2021;3;0,00000127;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;7;0,00000281;
декабрь 2021;2;0,00000080;
январь 2022;4;0,00000158;
февраль 2022;16;0,00000601;
март 2022;5;0,00000197;
апрель 2022;5;0,00000201;
май 2022;8;0,00000343;
июнь 2022;9;0,00000402;
июль 2022;8;0,00000344;
август 2022;1;0,00000039;
сентябрь 2022;5;0,00000182;
октябрь 2022;9;0,00000317;
ноябрь 2022;11;0,00000389;
декабрь 2022;6;0,00000219;
январь 2023;1;0,00000038;
февраль 2023;10;0,00000358;
март 2023;8;0,00000307;
апрель 2023;7;0,00000284;
май 2023;7;0,00000319;
июнь 2023;3;0,00000138;
июль 2023;6;0,00000281;
август 2023;6;0,00000256;
сентябрь 2023;7;0,00000271;
октябрь 2023;1;0,00000039;
ноябрь 2023;2;0,00000076;
декабрь 2023;3;0,00000113;
январь 2024;1;0,00000039;
февраль 2024;10;0,00000403;
март 2024;5;0,00000212;
апрель 2024;1;0,00000043;
май 2024;7;0,00000346;
июнь 2024;2;0,00000099;
июль 2024;7;0,00000346;
август 2024;9;0,00000408;
сентябрь 2024;11;0,00000427;
октябрь 2024;11;0,00000429;
ноябрь 2024;5;0,00000190;
декабрь 2024;7;0,00000267;
