Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;5;0,00000114;
январь 2018;6;0,00000140;
февраль 2018;18;0,00000376;
март 2018;12;0,00000282;
апрель 2018;16;0,00000384;
май 2018;18;0,00000453;
июнь 2018;9;0,00000220;
июль 2018;9;0,00000219;
август 2018;9;0,00000192;
сентябрь 2018;2;0,00000036;
октябрь 2018;5;0,00000099;
ноябрь 2018;15;0,00000300;
декабрь 2018;5;0,00000095;
январь 2019;5;0,00000097;
февраль 2019;9;0,00000162;
март 2019;3;0,00000059;
апрель 2019;17;0,00000355;
май 2019;8;0,00000175;
июнь 2019;19;0,00000413;
июль 2019;3;0,00000065;
август 2019;9;0,00000185;
сентябрь 2019;6;0,00000111;
октябрь 2019;4;0,00000073;
ноябрь 2019;31;0,00000550;
декабрь 2019;10;0,00000174;
январь 2020;6;0,00000108;
февраль 2020;10;0,00000159;
март 2020;6;0,00000076;
апрель 2020;5;0,00000067;
май 2020;11;0,00000186;
июнь 2020;6;0,00000110;
июль 2020;8;0,00000150;
август 2020;5;0,00000085;
сентябрь 2020;12;0,00000179;
октябрь 2020;7;0,00000099;
ноябрь 2020;6;0,00000089;
декабрь 2020;22;0,00000342;
январь 2021;11;0,00000183;
февраль 2021;5;0,00000075;
март 2021;5;0,00000070;
апрель 2021;14;0,00000179;
май 2021;10;0,00000134;
июнь 2021;5;0,00000079;
июль 2021;2;0,00000030;
август 2021;6;0,00000076;
сентябрь 2021;8;0,00000095;
октябрь 2021;10;0,00000114;
ноябрь 2021;20;0,00000227;
декабрь 2021;5;0,00000055;
январь 2022;16;0,00000184;
февраль 2022;54;0,00000552;
март 2022;15;0,00000164;
апрель 2022;17;0,00000187;
май 2022;23;0,00000280;
июнь 2022;19;0,00000232;
июль 2022;14;0,00000169;
август 2022;9;0,00000098;
сентябрь 2022;14;0,00000149;
октябрь 2022;35;0,00000374;
ноябрь 2022;18;0,00000193;
декабрь 2022;17;0,00000184;
январь 2023;13;0,00000155;
февраль 2023;37;0,00000400;
март 2023;20;0,00000240;
апрель 2023;17;0,00000202;
май 2023;15;0,00000194;
июнь 2023;24;0,00000307;
июль 2023;27;0,00000353;
август 2023;15;0,00000189;
сентябрь 2023;21;0,00000244;
октябрь 2023;17;0,00000203;
ноябрь 2023;13;0,00000153;
декабрь 2023;20;0,00000227;
январь 2024;18;0,00000221;
февраль 2024;37;0,00000428;
март 2024;22;0,00000277;
апрель 2024;20;0,00000252;
май 2024;21;0,00000291;
июнь 2024;17;0,00000235;
июль 2024;47;0,00000649;
август 2024;53;0,00000705;
сентябрь 2024;29;0,00000355;
октябрь 2024;35;0,00000419;
ноябрь 2024;40;0,00000460;
декабрь 2024;22;0,00000249;
