Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;3;0,00000064;
январь 2018;7;0,00000145;
февраль 2018;7;0,00000136;
март 2018;3;0,00000064;
апрель 2018;4;0,00000087;
май 2018;0;0;
июнь 2018;1;0,00000023;
июль 2018;0;0;
август 2018;1;0,00000020;
сентябрь 2018;2;0,00000035;
октябрь 2018;4;0,00000077;
ноябрь 2018;8;0,00000155;
декабрь 2018;4;0,00000077;
январь 2019;2;0,00000039;
февраль 2019;7;0,00000130;
март 2019;3;0,00000059;
апрель 2019;0;0;
май 2019;4;0,00000091;
июнь 2019;3;0,00000068;
июль 2019;2;0,00000045;
август 2019;7;0,00000145;
сентябрь 2019;4;0,00000072;
октябрь 2019;9;0,00000165;
ноябрь 2019;5;0,00000090;
декабрь 2019;7;0,00000125;
январь 2020;1;0,00000018;
февраль 2020;1;0,00000017;
март 2020;0;0;
апрель 2020;5;0,00000085;
май 2020;1;0,00000019;
июнь 2020;12;0,00000238;
июль 2020;2;0,00000039;
август 2020;2;0,00000035;
сентябрь 2020;8;0,00000126;
октябрь 2020;3;0,00000044;
ноябрь 2020;3;0,00000046;
декабрь 2020;5;0,00000080;
январь 2021;2;0,00000033;
февраль 2021;1;0,00000014;
март 2021;13;0,00000200;
апрель 2021;3;0,00000052;
май 2021;4;0,00000071;
июнь 2021;5;0,00000085;
июль 2021;2;0,00000031;
август 2021;4;0,00000064;
сентябрь 2021;3;0,00000049;
октябрь 2021;2;0,00000031;
ноябрь 2021;3;0,00000046;
декабрь 2021;4;0,00000059;
январь 2022;5;0,00000073;
февраль 2022;7;0,00000096;
март 2022;11;0,00000164;
апрель 2022;7;0,00000099;
май 2022;10;0,00000158;
июнь 2022;6;0,00000104;
июль 2022;13;0,00000220;
август 2022;15;0,00000247;
сентябрь 2022;12;0,00000185;
октябрь 2022;8;0,00000116;
ноябрь 2022;14;0,00000218;
декабрь 2022;11;0,00000181;
январь 2023;7;0,00000122;
февраль 2023;10;0,00000156;
март 2023;10;0,00000167;
апрель 2023;9;0,00000153;
май 2023;5;0,00000095;
июнь 2023;10;0,00000200;
июль 2023;12;0,00000241;
август 2023;11;0,00000200;
сентябрь 2023;4;0,00000066;
октябрь 2023;14;0,00000233;
ноябрь 2023;8;0,00000133;
декабрь 2023;14;0,00000233;
январь 2024;8;0,00000139;
февраль 2024;14;0,00000236;
март 2024;9;0,00000157;
апрель 2024;13;0,00000238;
май 2024;9;0,00000187;
июнь 2024;12;0,00000253;
июль 2024;25;0,00000536;
август 2024;16;0,00000314;
сентябрь 2024;20;0,00000344;
октябрь 2024;15;0,00000247;
ноябрь 2024;13;0,00000209;
декабрь 2024;15;0,00000251;
