Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Smolensk Oblast, all devices
December 2017;5;0,0000132;
January 2018;15;0,0000400;
February 2018;31;0,0000762;
March 2018;11;0,0000303;
April 2018;7;0,0000196;
May 2018;1;0,0000028;
June 2018;4;0,0000115;
July 2018;6;0,0000175;
August 2018;12;0,0000311;
September 2018;5;0,0000113;
October 2018;0;0;
November 2018;3;0,0000075;
December 2018;4;0,0000095;
January 2019;3;0,0000075;
February 2019;12;0,0000286;
March 2019;2;0,0000052;
April 2019;0;0;
May 2019;0;0;
June 2019;1;0,0000028;
July 2019;3;0,0000087;
August 2019;1;0,0000027;
September 2019;2;0,0000048;
October 2019;0;0;
November 2019;0;0;
December 2019;0;0;
January 2020;0;0;
February 2020;2;0,0000043;
March 2020;5;0,0000081;
April 2020;11;0,0000201;
May 2020;3;0,0000069;
June 2020;5;0,0000120;
July 2020;2;0,0000050;
August 2020;0;0;
September 2020;2;0,0000040;
October 2020;0;0;
November 2020;1;0,0000020;
December 2020;8;0,0000165;
January 2021;12;0,0000256;
February 2021;5;0,0000094;
March 2021;3;0,0000055;
April 2021;1;0,0000017;
May 2021;7;0,0000134;
June 2021;1;0,0000021;
July 2021;1;0,0000020;
August 2021;8;0,0000147;
September 2021;4;0,0000067;
October 2021;0;0;
November 2021;13;0,0000204;
December 2021;10;0,0000157;
January 2022;2;0,0000032;
February 2022;3;0,0000044;
March 2022;1;0,0000015;
April 2022;0;0;
May 2022;5;0,0000087;
June 2022;0;0;
July 2022;0;0;
August 2022;0;0;
September 2022;2;0,0000030;
October 2022;2;0,0000030;
November 2022;6;0,0000091;
December 2022;3;0,0000045;
January 2023;3;0,0000049;
February 2023;0;0;
March 2023;6;0,0000098;
April 2023;0;0;
May 2023;1;0,0000017;
June 2023;6;0,0000108;
July 2023;2;0,0000036;
August 2023;1;0,0000017;
September 2023;0;0;
October 2023;0;0;
November 2023;5;0,0000081;
December 2023;0;0;
January 2024;2;0,0000033;
February 2024;0;0;
March 2024;1;0,0000017;
April 2024;2;0,0000036;
May 2024;2;0,0000040;
June 2024;11;0,0000223;
July 2024;3;0,0000061;
August 2024;0;0;
September 2024;0;0;
October 2024;0;0;
November 2024;0;0;
