Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Omsk Oblast, all devices
December 2017;1;0,00000129;
January 2018;1;0,00000134;
February 2018;11;0,00001390;
March 2018;0;0;
April 2018;14;0,00001867;
May 2018;8;0,00001236;
June 2018;12;0,00001922;
July 2018;8;0,00001184;
August 2018;8;0,00001068;
September 2018;4;0,00000457;
October 2018;13;0,00001625;
November 2018;8;0,00000985;
December 2018;3;0,00000369;
January 2019;36;0,00004375;
February 2019;3;0,00000360;
March 2019;3;0,00000378;
April 2019;8;0,00001074;
May 2019;6;0,00000862;
June 2019;3;0,00000470;
July 2019;45;0,00006641;
August 2019;9;0,00001181;
September 2019;45;0,00005112;
October 2019;7;0,00000779;
November 2019;8;0,00000875;
December 2019;8;0,00000868;
January 2020;14;0,00001574;
February 2020;5;0,00000516;
March 2020;4;0,00000328;
April 2020;6;0,00000560;
May 2020;4;0,00000439;
June 2020;18;0,00002187;
July 2020;4;0,00000493;
August 2020;16;0,00001720;
September 2020;7;0,00000647;
October 2020;8;0,00000716;
November 2020;28;0,00002526;
December 2020;5;0,00000480;
January 2021;14;0,00001383;
February 2021;22;0,00002007;
March 2021;3;0,00000279;
April 2021;2;0,00000199;
May 2021;1;0,00000099;
June 2021;15;0,00001561;
July 2021;2;0,00000211;
August 2021;1;0,00000094;
September 2021;0;0;
October 2021;5;0,00000428;
November 2021;12;0,00000975;
December 2021;4;0,00000332;
January 2022;3;0,00000242;
February 2022;3;0,00000231;
March 2022;16;0,00001339;
April 2022;1;0,00000086;
May 2022;0;0;
June 2022;2;0,00000197;
July 2022;1;0,00000099;
August 2022;1;0,00000088;
September 2022;9;0,00000727;
October 2022;3;0,00000234;
November 2022;10;0,00000769;
December 2022;6;0,00000476;
January 2023;6;0,00000510;
February 2023;1;0,00000077;
March 2023;1;0,00000082;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;32;0,00003127;
August 2023;6;0,00000552;
September 2023;2;0,00000165;
October 2023;0;0;
November 2023;8;0,00000644;
December 2023;3;0,00000246;
January 2024;8;0,00000693;
February 2024;1;0,00000082;
March 2024;0;0;
April 2024;0;0;
May 2024;1;0,00000108;
June 2024;0;0;
July 2024;3;0,00000335;
August 2024;0;0;
September 2024;3;0,00000265;
October 2024;5;0,00000433;
November 2024;2;0,00000165;
