Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Kamchatka Krai, all devices
December 2017;15;0,0001819;
January 2018;9;0,0001127;
February 2018;6;0,0000667;
March 2018;1;0,0000117;
April 2018;13;0,0001563;
May 2018;0;0;
June 2018;1;0,0000136;
July 2018;0;0;
August 2018;14;0,0001650;
September 2018;0;0;
October 2018;0;0;
November 2018;0;0;
December 2018;0;0;
January 2019;0;0;
February 2019;0;0;
March 2019;0;0;
April 2019;6;0,0000697;
May 2019;0;0;
June 2019;1;0,0000143;
July 2019;0;0;
August 2019;1;0,0000123;
September 2019;0;0;
October 2019;0;0;
November 2019;0;0;
December 2019;3;0,0000264;
January 2020;0;0;
February 2020;0;0;
March 2020;5;0,0000323;
April 2020;0;0;
May 2020;1;0,0000092;
June 2020;0;0;
July 2020;1;0,0000100;
August 2020;3;0,0000281;
September 2020;0;0;
October 2020;0;0;
November 2020;0;0;
December 2020;0;0;
January 2021;6;0,0000475;
February 2021;1;0,0000073;
March 2021;3;0,0000214;
April 2021;3;0,0000227;
May 2021;0;0;
June 2021;0;0;
July 2021;2;0,0000176;
August 2021;0;0;
September 2021;2;0,0000140;
October 2021;0;0;
November 2021;1;0,0000065;
December 2021;0;0;
January 2022;0;0;
February 2022;1;0,0000061;
March 2022;1;0,0000062;
April 2022;0;0;
May 2022;0;0;
June 2022;1;0,0000075;
July 2022;3;0,0000216;
August 2022;3;0,0000193;
September 2022;0;0;
October 2022;0;0;
November 2022;2;0,0000117;
December 2022;0;0;
January 2023;0;0;
February 2023;0;0;
March 2023;0;0;
April 2023;1;0,0000061;
May 2023;2;0,0000148;
June 2023;2;0,0000153;
July 2023;1;0,0000074;
August 2023;6;0,0000422;
September 2023;7;0,0000431;
October 2023;5;0,0000311;
November 2023;3;0,0000182;
December 2023;2;0,0000120;
January 2024;2;0,0000126;
February 2024;0;0;
March 2024;1;0,0000064;
April 2024;0;0;
May 2024;3;0,0000237;
June 2024;1;0,0000077;
July 2024;6;0,0000472;
August 2024;1;0,0000073;
September 2024;3;0,0000189;
October 2024;0;0;
November 2024;7;0,0000410;
