Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Vladimir Oblast, all devices
December 2017;72;0,0001185;
January 2018;112;0,0001909;
February 2018;19;0,0000294;
March 2018;24;0,0000414;
April 2018;21;0,0000375;
May 2018;32;0,0000592;
June 2018;15;0,0000270;
July 2018;26;0,0000459;
August 2018;5;0,0000080;
September 2018;25;0,0000351;
October 2018;45;0,0000695;
November 2018;11;0,0000170;
December 2018;8;0,0000117;
January 2019;11;0,0000171;
February 2019;8;0,0000116;
March 2019;15;0,0000238;
April 2019;62;0,0001034;
May 2019;18;0,0000318;
June 2019;29;0,0000492;
July 2019;18;0,0000305;
August 2019;20;0,0000329;
September 2019;8;0,0000116;
October 2019;34;0,0000490;
November 2019;53;0,0000736;
December 2019;14;0,0000187;
January 2020;12;0,0000166;
February 2020;16;0,0000195;
March 2020;3;0,0000026;
April 2020;11;0,0000109;
May 2020;26;0,0000331;
June 2020;20;0,0000273;
July 2020;12;0,0000166;
August 2020;18;0,0000233;
September 2020;7;0,0000078;
October 2020;8;0,0000084;
November 2020;12;0,0000132;
December 2020;38;0,0000420;
January 2021;7;0,0000081;
February 2021;14;0,0000145;
March 2021;7;0,0000072;
April 2021;10;0,0000107;
May 2021;11;0,0000123;
June 2021;9;0,0000103;
July 2021;4;0,0000044;
August 2021;6;0,0000064;
September 2021;12;0,0000123;
October 2021;10;0,0000099;
November 2021;15;0,0000148;
December 2021;26;0,0000252;
January 2022;12;0,0000119;
February 2022;23;0,0000210;
March 2022;20;0,0000192;
April 2022;11;0,0000106;
May 2022;25;0,0000267;
June 2022;19;0,0000201;
July 2022;10;0,0000105;
August 2022;8;0,0000078;
September 2022;10;0,0000093;
October 2022;5;0,0000046;
November 2022;11;0,0000103;
December 2022;9;0,0000083;
January 2023;10;0,0000101;
February 2023;0;0;
March 2023;2;0,0000020;
April 2023;4;0,0000039;
May 2023;7;0,0000071;
June 2023;6;0,0000057;
July 2023;6;0,0000058;
August 2023;8;0,0000076;
September 2023;9;0,0000076;
October 2023;5;0,0000044;
November 2023;33;0,0000288;
December 2023;25;0,0000208;
January 2024;15;0,0000138;
February 2024;29;0,0000267;
March 2024;5;0,0000050;
April 2024;5;0,0000051;
May 2024;17;0,0000192;
June 2024;19;0,0000207;
July 2024;79;0,0000857;
August 2024;63;0,0000677;
September 2024;81;0,0000792;
October 2024;144;0,0001356;
November 2024;152;0,0001391;
