Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Krasnodar Krai, all devices
December 2017;32;0,00001326;
January 2018;57;0,00002356;
February 2018;11;0,00000435;
March 2018;12;0,00000552;
April 2018;11;0,00000479;
May 2018;11;0,00000484;
June 2018;15;0,00000589;
July 2018;3;0,00000118;
August 2018;10;0,00000390;
September 2018;69;0,00002446;
October 2018;8;0,00000308;
November 2018;43;0,00001634;
December 2018;15;0,00000554;
January 2019;54;0,00002098;
February 2019;10;0,00000370;
March 2019;56;0,00002165;
April 2019;3;0,00000118;
May 2019;9;0,00000365;
June 2019;6;0,00000221;
July 2019;13;0,00000473;
August 2019;42;0,00001542;
September 2019;47;0,00001657;
October 2019;16;0,00000563;
November 2019;14;0,00000470;
December 2019;29;0,00000930;
January 2020;7;0,00000232;
February 2020;24;0,00000758;
March 2020;14;0,00000362;
April 2020;15;0,00000422;
May 2020;8;0,00000260;
June 2020;31;0,00000985;
July 2020;6;0,00000184;
August 2020;12;0,00000357;
September 2020;21;0,00000580;
October 2020;16;0,00000431;
November 2020;31;0,00000874;
December 2020;45;0,00001270;
January 2021;22;0,00000654;
February 2021;34;0,00000916;
March 2021;34;0,00000959;
April 2021;30;0,00000920;
May 2021;10;0,00000282;
June 2021;14;0,00000354;
July 2021;14;0,00000339;
August 2021;16;0,00000444;
September 2021;15;0,00000423;
October 2021;25;0,00000700;
November 2021;32;0,00000869;
December 2021;34;0,00000903;
January 2022;14;0,00000390;
February 2022;12;0,00000297;
March 2022;88;0,00002347;
April 2022;32;0,00000845;
May 2022;28;0,00000754;
June 2022;21;0,00000526;
July 2022;16;0,00000390;
August 2022;16;0,00000395;
September 2022;6;0,00000145;
October 2022;16;0,00000390;
November 2022;16;0,00000388;
December 2022;14;0,00000340;
January 2023;27;0,00000698;
February 2023;26;0,00000626;
March 2023;4;0,00000101;
April 2023;8;0,00000206;
May 2023;7;0,00000186;
June 2023;13;0,00000319;
July 2023;21;0,00000509;
August 2023;16;0,00000408;
September 2023;6;0,00000149;
October 2023;29;0,00000723;
November 2023;13;0,00000322;
December 2023;13;0,00000316;
January 2024;3;0,00000080;
February 2024;5;0,00000128;
March 2024;17;0,00000467;
April 2024;8;0,00000220;
May 2024;10;0,00000293;
June 2024;7;0,00000184;
July 2024;16;0,00000413;
August 2024;16;0,00000427;
September 2024;23;0,00000587;
October 2024;13;0,00000323;
November 2024;14;0,00000338;
