Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Tyumen Oblast, all devices
December 2017;25;0,0000346;
January 2018;3;0,0000042;
February 2018;10;0,0000132;
March 2018;12;0,0000171;
April 2018;27;0,0000379;
May 2018;10;0,0000158;
June 2018;10;0,0000163;
July 2018;12;0,0000192;
August 2018;5;0,0000066;
September 2018;8;0,0000095;
October 2018;8;0,0000104;
November 2018;15;0,0000195;
December 2018;8;0,0000103;
January 2019;39;0,0000489;
February 2019;40;0,0000514;
March 2019;30;0,0000393;
April 2019;24;0,0000339;
May 2019;14;0,0000215;
June 2019;1;0,0000016;
July 2019;5;0,0000079;
August 2019;25;0,0000346;
September 2019;8;0,0000100;
October 2019;25;0,0000305;
November 2019;16;0,0000188;
December 2019;22;0,0000251;
January 2020;26;0,0000298;
February 2020;9;0,0000096;
March 2020;10;0,0000088;
April 2020;1;0,0000010;
May 2020;14;0,0000165;
June 2020;19;0,0000249;
July 2020;28;0,0000369;
August 2020;21;0,0000241;
September 2020;7;0,0000069;
October 2020;5;0,0000044;
November 2020;8;0,0000074;
December 2020;5;0,0000049;
January 2021;20;0,0000209;
February 2021;2;0,0000019;
March 2021;10;0,0000097;
April 2021;4;0,0000040;
May 2021;10;0,0000104;
June 2021;5;0,0000053;
July 2021;14;0,0000152;
August 2021;4;0,0000039;
September 2021;5;0,0000044;
October 2021;3;0,0000024;
November 2021;5;0,0000042;
December 2021;18;0,0000155;
January 2022;9;0,0000073;
February 2022;24;0,0000189;
March 2022;14;0,0000116;
April 2022;3;0,0000025;
May 2022;6;0,0000056;
June 2022;19;0,0000186;
July 2022;13;0,0000127;
August 2022;13;0,0000111;
September 2022;4;0,0000031;
October 2022;10;0,0000077;
November 2022;3;0,0000022;
December 2022;3;0,0000023;
January 2023;12;0,0000101;
February 2023;3;0,0000023;
March 2023;6;0,0000048;
April 2023;15;0,0000129;
May 2023;4;0,0000037;
June 2023;3;0,0000029;
July 2023;2;0,0000019;
August 2023;17;0,0000149;
September 2023;11;0,0000088;
October 2023;37;0,0000298;
November 2023;21;0,0000162;
December 2023;2;0,0000016;
January 2024;7;0,0000057;
February 2024;27;0,0000222;
March 2024;29;0,0000247;
April 2024;18;0,0000157;
May 2024;15;0,0000154;
June 2024;9;0,0000094;
July 2024;9;0,0000094;
August 2024;6;0,0000056;
September 2024;15;0,0000125;
October 2024;7;0,0000057;
November 2024;4;0,0000031;
