Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Republic of Bashkortostan, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;3;0,00000178;
March 2018;2;0,00000130;
April 2018;4;0,00000269;
May 2018;9;0,00000669;
June 2018;2;0,00000157;
July 2018;11;0,00000811;
August 2018;9;0,00000589;
September 2018;6;0,00000332;
October 2018;9;0,00000532;
November 2018;7;0,00000422;
December 2018;13;0,00000769;
January 2019;45;0,00002718;
February 2019;6;0,00000347;
March 2019;1;0,00000061;
April 2019;8;0,00000520;
May 2019;17;0,00001231;
June 2019;18;0,00001311;
July 2019;31;0,00002173;
August 2019;0;0;
September 2019;12;0,00000666;
October 2019;3;0,00000163;
November 2019;11;0,00000585;
December 2019;12;0,00000626;
January 2020;19;0,00001034;
February 2020;6;0,00000303;
March 2020;9;0,00000333;
April 2020;6;0,00000266;
May 2020;1;0,00000056;
June 2020;15;0,00000905;
July 2020;2;0,00000116;
August 2020;2;0,00000100;
September 2020;4;0,00000180;
October 2020;5;0,00000196;
November 2020;2;0,00000085;
December 2020;7;0,00000321;
January 2021;7;0,00000326;
February 2021;30;0,00001263;
March 2021;5;0,00000220;
April 2021;0;0;
May 2021;2;0,00000098;
June 2021;7;0,00000346;
July 2021;4;0,00000191;
August 2021;4;0,00000176;
September 2021;12;0,00000484;
October 2021;6;0,00000240;
November 2021;6;0,00000231;
December 2021;3;0,00000120;
January 2022;4;0,00000158;
February 2022;6;0,00000217;
March 2022;5;0,00000194;
April 2022;5;0,00000198;
May 2022;0;0;
June 2022;3;0,00000144;
July 2022;3;0,00000141;
August 2022;1;0,00000040;
September 2022;1;0,00000037;
October 2022;3;0,00000110;
November 2022;1;0,00000036;
December 2022;2;0,00000074;
January 2023;19;0,00000757;
February 2023;7;0,00000255;
March 2023;1;0,00000040;
April 2023;1;0,00000041;
May 2023;1;0,00000045;
June 2023;9;0,00000422;
July 2023;4;0,00000189;
August 2023;11;0,00000469;
September 2023;1;0,00000037;
October 2023;3;0,00000114;
November 2023;6;0,00000224;
December 2023;2;0,00000076;
January 2024;8;0,00000327;
February 2024;18;0,00000717;
March 2024;9;0,00000391;
April 2024;5;0,00000219;
May 2024;3;0,00000154;
June 2024;5;0,00000254;
July 2024;11;0,00000560;
August 2024;4;0,00000191;
September 2024;8;0,00000331;
October 2024;6;0,00000238;
November 2024;6;0,00000230;
