Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Irkutsk Oblast, all devices
December 2017;10;0,0000104;
January 2018;40;0,0000425;
February 2018;53;0,0000535;
March 2018;47;0,0000515;
April 2018;25;0,0000271;
May 2018;21;0,0000262;
June 2018;14;0,0000172;
July 2018;64;0,0000783;
August 2018;3;0,0000031;
September 2018;22;0,0000198;
October 2018;24;0,0000234;
November 2018;42;0,0000406;
December 2018;24;0,0000230;
January 2019;34;0,0000328;
February 2019;32;0,0000299;
March 2019;11;0,0000106;
April 2019;35;0,0000361;
May 2019;24;0,0000278;
June 2019;13;0,0000155;
July 2019;69;0,0000818;
August 2019;22;0,0000230;
September 2019;21;0,0000192;
October 2019;166;0,0001506;
November 2019;235;0,0002021;
December 2019;164;0,0001393;
January 2020;116;0,0001004;
February 2020;333;0,0002691;
March 2020;83;0,0000523;
April 2020;101;0,0000729;
May 2020;45;0,0000396;
June 2020;63;0,0000612;
July 2020;66;0,0000623;
August 2020;95;0,0000778;
September 2020;106;0,0000756;
October 2020;72;0,0000457;
November 2020;70;0,0000480;
December 2020;27;0,0000194;
January 2021;22;0,0000167;
February 2021;5;0,0000035;
March 2021;16;0,0000111;
April 2021;14;0,0000102;
May 2021;64;0,0000512;
June 2021;63;0,0000515;
July 2021;16;0,0000128;
August 2021;6;0,0000044;
September 2021;4;0,0000027;
October 2021;31;0,0000205;
November 2021;33;0,0000206;
December 2021;21;0,0000135;
January 2022;20;0,0000129;
February 2022;39;0,0000236;
March 2022;16;0,0000100;
April 2022;14;0,0000093;
May 2022;27;0,0000199;
June 2022;22;0,0000166;
July 2022;17;0,0000126;
August 2022;7;0,0000046;
September 2022;18;0,0000109;
October 2022;14;0,0000081;
November 2022;7;0,0000041;
December 2022;9;0,0000053;
January 2023;16;0,0000103;
February 2023;19;0,0000112;
March 2023;17;0,0000103;
April 2023;7;0,0000045;
May 2023;11;0,0000082;
June 2023;13;0,0000101;
July 2023;15;0,0000115;
August 2023;32;0,0000223;
September 2023;6;0,0000037;
October 2023;8;0,0000050;
November 2023;13;0,0000078;
December 2023;10;0,0000062;
January 2024;9;0,0000058;
February 2024;8;0,0000051;
March 2024;12;0,0000080;
April 2024;12;0,0000086;
May 2024;17;0,0000141;
June 2024;15;0,0000127;
July 2024;13;0,0000109;
August 2024;15;0,0000112;
September 2024;16;0,0000105;
October 2024;10;0,0000063;
November 2024;39;0,0000233;
