Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Novgorod Oblast, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;2;0,0000078;
March 2018;2;0,0000086;
April 2018;3;0,0000136;
May 2018;14;0,0000657;
June 2018;1;0,0000046;
July 2018;0;0;
August 2018;0;0;
September 2018;1;0,0000035;
October 2018;1;0,0000039;
November 2018;0;0;
December 2018;0;0;
January 2019;0;0;
February 2019;6;0,0000224;
March 2019;0;0;
April 2019;0;0;
May 2019;0;0;
June 2019;2;0,0000088;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;0;0;
November 2019;1;0,0000035;
December 2019;0;0;
January 2020;1;0,0000035;
February 2020;0;0;
March 2020;7;0,0000183;
April 2020;1;0,0000030;
May 2020;0;0;
June 2020;0;0;
July 2020;0;0;
August 2020;0;0;
September 2020;6;0,0000174;
October 2020;2;0,0000057;
November 2020;0;0;
December 2020;2;0,0000064;
January 2021;1;0,0000033;
February 2021;0;0;
March 2021;1;0,0000028;
April 2021;1;0,0000027;
May 2021;0;0;
June 2021;0;0;
July 2021;1;0,0000033;
August 2021;17;0,0000483;
September 2021;18;0,0000469;
October 2021;1;0,0000025;
November 2021;1;0,0000024;
December 2021;4;0,0000098;
January 2022;1;0,0000025;
February 2022;2;0,0000046;
March 2022;0;0;
April 2022;0;0;
May 2022;0;0;
June 2022;0;0;
July 2022;6;0,0000164;
August 2022;1;0,0000024;
September 2022;1;0,0000023;
October 2022;0;0;
November 2022;1;0,0000023;
December 2022;0;0;
January 2023;1;0,0000025;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;0;0;
October 2023;0;0;
November 2023;0;0;
December 2023;2;0,0000047;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;2;0,0000054;
May 2024;0;0;
June 2024;1;0,0000029;
July 2024;0;0;
August 2024;5;0,0000144;
September 2024;0;0;
October 2024;1;0,0000024;
November 2024;0;0;
