Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Khanty-Mansi Autonomous Okrug — Yugra, all devices
December 2017;27;0,00003700;
January 2018;14;0,00001924;
February 2018;10;0,00001303;
March 2018;7;0,00000992;
April 2018;0;0;
May 2018;21;0,00003610;
June 2018;14;0,00002583;
July 2018;30;0,00005361;
August 2018;7;0,00001013;
September 2018;4;0,00000494;
October 2018;36;0,00004748;
November 2018;9;0,00001189;
December 2018;2;0,00000257;
January 2019;7;0,00000886;
February 2019;18;0,00002308;
March 2019;12;0,00001580;
April 2019;8;0,00001120;
May 2019;3;0,00000511;
June 2019;3;0,00000565;
July 2019;0;0;
August 2019;8;0,00001209;
September 2019;16;0,00002058;
October 2019;6;0,00000750;
November 2019;6;0,00000718;
December 2019;5;0,00000580;
January 2020;17;0,00002005;
February 2020;6;0,00000650;
March 2020;10;0,00000837;
April 2020;7;0,00000666;
May 2020;6;0,00000715;
June 2020;4;0,00000565;
July 2020;6;0,00000867;
August 2020;7;0,00000818;
September 2020;14;0,00001334;
October 2020;4;0,00000342;
November 2020;6;0,00000556;
December 2020;2;0,00000195;
January 2021;6;0,00000626;
February 2021;3;0,00000308;
March 2021;23;0,00002300;
April 2021;14;0,00001436;
May 2021;6;0,00000688;
June 2021;6;0,00000776;
July 2021;1;0,00000129;
August 2021;10;0,00001059;
September 2021;12;0,00001110;
October 2021;12;0,00001074;
November 2021;15;0,00001268;
December 2021;18;0,00001556;
January 2022;9;0,00000773;
February 2022;3;0,00000246;
March 2022;7;0,00000606;
April 2022;10;0,00000901;
May 2022;10;0,00001026;
June 2022;7;0,00000809;
July 2022;5;0,00000546;
August 2022;3;0,00000278;
September 2022;0;0;
October 2022;9;0,00000732;
November 2022;7;0,00000545;
December 2022;6;0,00000487;
January 2023;7;0,00000617;
February 2023;14;0,00001139;
March 2023;7;0,00000587;
April 2023;6;0,00000545;
May 2023;1;0,00000106;
June 2023;4;0,00000474;
July 2023;3;0,00000351;
August 2023;4;0,00000397;
September 2023;6;0,00000521;
October 2023;7;0,00000610;
November 2023;5;0,00000404;
December 2023;7;0,00000597;
January 2024;10;0,00000888;
February 2024;3;0,00000259;
March 2024;1;0,00000088;
April 2024;4;0,00000375;
May 2024;9;0,00001089;
June 2024;2;0,00000258;
July 2024;6;0,00000774;
August 2024;5;0,00000545;
September 2024;6;0,00000548;
October 2024;5;0,00000439;
November 2024;1;0,00000084;
