Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Voronezh Oblast, all devices
December 2017;13;0,00001175;
January 2018;4;0,00000367;
February 2018;6;0,00000503;
March 2018;2;0,00000192;
April 2018;17;0,00001659;
May 2018;11;0,00001148;
June 2018;2;0,00000207;
July 2018;2;0,00000205;
August 2018;15;0,00001342;
September 2018;19;0,00001468;
October 2018;10;0,00000844;
November 2018;30;0,00002532;
December 2018;18;0,00001497;
January 2019;59;0,00004973;
February 2019;16;0,00001311;
March 2019;5;0,00000453;
April 2019;3;0,00000283;
May 2019;9;0,00000932;
June 2019;8;0,00000803;
July 2019;40;0,00004049;
August 2019;9;0,00000820;
September 2019;19;0,00001475;
October 2019;5;0,00000381;
November 2019;6;0,00000446;
December 2019;5;0,00000369;
January 2020;4;0,00000303;
February 2020;9;0,00000646;
March 2020;5;0,00000294;
April 2020;4;0,00000267;
May 2020;4;0,00000314;
June 2020;7;0,00000587;
July 2020;15;0,00001293;
August 2020;3;0,00000223;
September 2020;5;0,00000322;
October 2020;4;0,00000231;
November 2020;30;0,00001887;
December 2020;10;0,00000656;
January 2021;2;0,00000135;
February 2021;17;0,00001049;
March 2021;4;0,00000256;
April 2021;0;0;
May 2021;2;0,00000132;
June 2021;5;0,00000353;
July 2021;4;0,00000280;
August 2021;1;0,00000062;
September 2021;8;0,00000446;
October 2021;7;0,00000384;
November 2021;8;0,00000436;
December 2021;7;0,00000386;
January 2022;13;0,00000706;
February 2022;9;0,00000454;
March 2022;24;0,00001331;
April 2022;5;0,00000277;
May 2022;4;0,00000249;
June 2022;1;0,00000062;
July 2022;11;0,00000686;
August 2022;9;0,00000500;
September 2022;0;0;
October 2022;7;0,00000360;
November 2022;4;0,00000206;
December 2022;2;0,00000104;
January 2023;1;0,00000056;
February 2023;3;0,00000154;
March 2023;1;0,00000055;
April 2023;9;0,00000511;
May 2023;2;0,00000124;
June 2023;2;0,00000126;
July 2023;4;0,00000261;
August 2023;0;0;
September 2023;2;0,00000107;
October 2023;0;0;
November 2023;11;0,00000598;
December 2023;6;0,00000324;
January 2024;0;0;
February 2024;0;0;
March 2024;6;0,00000365;
April 2024;4;0,00000244;
May 2024;2;0,00000138;
June 2024;1;0,00000070;
July 2024;0;0;
August 2024;2;0,00000128;
September 2024;9;0,00000515;
October 2024;3;0,00000166;
November 2024;1;0,00000053;
