Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Chelyabinsk Oblast, all devices
December 2017;1;0,00000064;
January 2018;5;0,00000329;
February 2018;1;0,00000061;
March 2018;2;0,00000133;
April 2018;3;0,00000203;
May 2018;4;0,00000298;
June 2018;5;0,00000391;
July 2018;7;0,00000513;
August 2018;8;0,00000519;
September 2018;12;0,00000669;
October 2018;14;0,00000862;
November 2018;3;0,00000184;
December 2018;10;0,00000607;
January 2019;53;0,00003249;
February 2019;8;0,00000483;
March 2019;10;0,00000626;
April 2019;7;0,00000473;
May 2019;12;0,00000895;
June 2019;10;0,00000777;
July 2019;24;0,00001769;
August 2019;7;0,00000461;
September 2019;8;0,00000462;
October 2019;43;0,00002422;
November 2019;17;0,00000926;
December 2019;144;0,00007756;
January 2020;15;0,00000832;
February 2020;4;0,00000210;
March 2020;4;0,00000166;
April 2020;8;0,00000392;
May 2020;4;0,00000229;
June 2020;32;0,00002038;
July 2020;9;0,00000565;
August 2020;4;0,00000220;
September 2020;7;0,00000338;
October 2020;12;0,00000552;
November 2020;14;0,00000627;
December 2020;9;0,00000402;
January 2021;7;0,00000312;
February 2021;18;0,00000727;
March 2021;2;0,00000087;
April 2021;2;0,00000101;
May 2021;6;0,00000310;
June 2021;6;0,00000319;
July 2021;6;0,00000324;
August 2021;4;0,00000193;
September 2021;3;0,00000132;
October 2021;16;0,00000664;
November 2021;1;0,00000041;
December 2021;10;0,00000421;
January 2022;4;0,00000169;
February 2022;26;0,00001011;
March 2022;6;0,00000249;
April 2022;16;0,00000690;
May 2022;8;0,00000383;
June 2022;31;0,00001585;
July 2022;5;0,00000249;
August 2022;6;0,00000266;
September 2022;13;0,00000531;
October 2022;2;0,00000080;
November 2022;0;0;
December 2022;0;0;
January 2023;11;0,00000471;
February 2023;12;0,00000476;
March 2023;4;0,00000171;
April 2023;4;0,00000178;
May 2023;25;0,00001206;
June 2023;0;0;
July 2023;12;0,00000583;
August 2023;7;0,00000307;
September 2023;0;0;
October 2023;6;0,00000248;
November 2023;9;0,00000356;
December 2023;14;0,00000561;
January 2024;21;0,00000891;
February 2024;3;0,00000126;
March 2024;9;0,00000409;
April 2024;8;0,00000370;
May 2024;1;0,00000053;
June 2024;4;0,00000216;
July 2024;5;0,00000270;
August 2024;22;0,00001119;
September 2024;18;0,00000783;
October 2024;3;0,00000129;
November 2024;10;0,00000413;
