Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Tver Oblast, all devices
December 2017;14;0,0000267;
January 2018;17;0,0000328;
February 2018;8;0,0000140;
March 2018;3;0,0000059;
April 2018;15;0,0000309;
May 2018;15;0,0000320;
June 2018;25;0,0000522;
July 2018;16;0,0000332;
August 2018;9;0,0000167;
September 2018;15;0,0000243;
October 2018;16;0,0000285;
November 2018;52;0,0000944;
December 2018;34;0,0000588;
January 2019;8;0,0000146;
February 2019;6;0,0000102;
March 2019;18;0,0000336;
April 2019;38;0,0000742;
May 2019;74;0,0001551;
June 2019;44;0,0000886;
July 2019;18;0,0000370;
August 2019;12;0,0000237;
September 2019;13;0,0000225;
October 2019;4;0,0000068;
November 2019;3;0,0000049;
December 2019;3;0,0000047;
January 2020;53;0,0000881;
February 2020;31;0,0000474;
March 2020;16;0,0000186;
April 2020;9;0,0000115;
May 2020;6;0,0000097;
June 2020;25;0,0000417;
July 2020;9;0,0000154;
August 2020;3;0,0000048;
September 2020;34;0,0000484;
October 2020;21;0,0000280;
November 2020;10;0,0000138;
December 2020;4;0,0000056;
January 2021;21;0,0000304;
February 2021;131;0,0001719;
March 2021;7;0,0000089;
April 2021;19;0,0000243;
May 2021;11;0,0000147;
June 2021;1;0,0000014;
July 2021;5;0,0000067;
August 2021;17;0,0000215;
September 2021;7;0,0000082;
October 2021;9;0,0000103;
November 2021;34;0,0000389;
December 2021;36;0,0000400;
January 2022;25;0,0000284;
February 2022;16;0,0000166;
March 2022;12;0,0000129;
April 2022;18;0,0000200;
May 2022;18;0,0000221;
June 2022;12;0,0000145;
July 2022;3;0,0000036;
August 2022;2;0,0000022;
September 2022;9;0,0000094;
October 2022;19;0,0000200;
November 2022;2;0,0000021;
December 2022;10;0,0000104;
January 2023;24;0,0000273;
February 2023;3;0,0000031;
March 2023;11;0,0000124;
April 2023;22;0,0000251;
May 2023;11;0,0000135;
June 2023;1;0,0000012;
July 2023;9;0,0000109;
August 2023;9;0,0000108;
September 2023;7;0,0000076;
October 2023;3;0,0000033;
November 2023;6;0,0000066;
December 2023;23;0,0000247;
January 2024;13;0,0000150;
February 2024;4;0,0000045;
March 2024;3;0,0000035;
April 2024;5;0,0000061;
May 2024;6;0,0000082;
June 2024;2;0,0000026;
July 2024;2;0,0000026;
August 2024;0;0;
September 2024;7;0,0000081;
October 2024;14;0,0000160;
November 2024;24;0,0000268;
