Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Moscow, all devices
December 2017;115 079;0,00919;
January 2018;98 154;0,00748;
February 2018;117 269;0,00825;
March 2018;82 389;0,00645;
April 2018;64 685;0,00510;
May 2018;56 128;0,00482;
June 2018;49 957;0,00417;
July 2018;46 472;0,00391;
August 2018;45 122;0,00327;
September 2018;54 195;0,00341;
October 2018;64 181;0,00432;
November 2018;68 073;0,00458;
December 2018;95 437;0,00635;
January 2019;85 690;0,00614;
February 2019;88 076;0,00617;
March 2019;70 940;0,00525;
April 2019;63 452;0,00495;
May 2019;54 042;0,00453;
June 2019;47 919;0,00381;
July 2019;35 588;0,00302;
August 2019;32 051;0,00241;
September 2019;37 072;0,00249;
October 2019;39 732;0,00276;
November 2019;40 675;0,00274;
December 2019;51 222;0,00341;
January 2020;48 894;0,00330;
February 2020;48 607;0,00310;
March 2020;32 759;0,00192;
April 2020;47 688;0,00302;
May 2020;50 765;0,00363;
June 2020;34 930;0,00256;
July 2020;25 872;0,00192;
August 2020;19 688;0,00127;
September 2020;20 261;0,00117;
October 2020;22 969;0,00124;
November 2020;24 827;0,00139;
December 2020;35 047;0,00218;
January 2021;29 222;0,00185;
February 2021;34 894;0,00201;
March 2021;29 021;0,00171;
April 2021;25 634;0,00168;
May 2021;23 250;0,00156;
June 2021;25 008;0,00154;
July 2021;20 712;0,00121;
August 2021;20 498;0,00119;
September 2021;25 161;0,00147;
October 2021;25 804;0,00156;
November 2021;25 245;0,00148;
December 2021;32 790;0,00190;
January 2022;27 431;0,00157;
February 2022;30 820;0,00170;
March 2022;24 363;0,00145;
April 2022;18 872;0,00106;
May 2022;15 023;0,00098;
June 2022;12 679;0,00088;
July 2022;10 829;0,00069;
August 2022;8 769;0,00051;
September 2022;9 429;0,00056;
October 2022;9 103;0,00054;
November 2022;7 553;0,00046;
December 2022;8 944;0,00058;
January 2023;8 248;0,00056;
February 2023;8 661;0,00053;
March 2023;7 391;0,00051;
April 2023;6 106;0,00043;
May 2023;4 472;0,00034;
June 2023;4 714;0,00038;
July 2023;4 285;0,00035;
August 2023;3 989;0,00029;
September 2023;4 581;0,00029;
October 2023;4 860;0,00032;
November 2023;5 277;0,00034;
December 2023;6 840;0,00043;
January 2024;5 109;0,00036;
February 2024;6 169;0,00041;
March 2024;4 690;0,00033;
April 2024;5 608;0,00040;
May 2024;3 943;0,00033;
June 2024;3 640;0,00032;
July 2024;4 097;0,00036;
August 2024;4 441;0,00035;
September 2024;4 819;0,00034;
October 2024;4 514;0,00029;
November 2024;4 803;0,00031;
