Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Yamalo-Nenets Autonomous Okrug, all devices
December 2017;1;0,0000045;
January 2018;8;0,0000361;
February 2018;8;0,0000337;
March 2018;3;0,0000132;
April 2018;0;0;
May 2018;1;0,0000060;
June 2018;7;0,0000456;
July 2018;0;0;
August 2018;0;0;
September 2018;4;0,0000153;
October 2018;1;0,0000040;
November 2018;0;0;
December 2018;2;0,0000081;
January 2019;10;0,0000396;
February 2019;24;0,0000934;
March 2019;0;0;
April 2019;2;0,0000085;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;2;0,0000091;
September 2019;7;0,0000261;
October 2019;1;0,0000037;
November 2019;2;0,0000071;
December 2019;6;0,0000212;
January 2020;6;0,0000203;
February 2020;3;0,0000096;
March 2020;4;0,0000102;
April 2020;2;0,0000054;
May 2020;1;0,0000038;
June 2020;1;0,0000044;
July 2020;0;0;
August 2020;3;0,0000109;
September 2020;7;0,0000207;
October 2020;2;0,0000052;
November 2020;7;0,0000199;
December 2020;0;0;
January 2021;1;0,0000031;
February 2021;8;0,0000239;
March 2021;2;0,0000056;
April 2021;1;0,0000029;
May 2021;2;0,0000071;
June 2021;3;0,0000124;
July 2021;12;0,0000493;
August 2021;4;0,0000122;
September 2021;4;0,0000107;
October 2021;0;0;
November 2021;0;0;
December 2021;11;0,0000274;
January 2022;8;0,0000195;
February 2022;3;0,0000070;
March 2022;1;0,0000024;
April 2022;0;0;
May 2022;2;0,0000064;
June 2022;0;0;
July 2022;5;0,0000175;
August 2022;13;0,0000354;
September 2022;0;0;
October 2022;8;0,0000184;
November 2022;0;0;
December 2022;3;0,0000069;
January 2023;1;0,0000024;
February 2023;8;0,0000182;
March 2023;8;0,0000186;
April 2023;1;0,0000025;
May 2023;2;0,0000065;
June 2023;0;0;
July 2023;0;0;
August 2023;4;0,0000114;
September 2023;2;0,0000049;
October 2023;2;0,0000049;
November 2023;3;0,0000072;
December 2023;4;0,0000099;
January 2024;7;0,0000176;
February 2024;4;0,0000099;
March 2024;7;0,0000176;
April 2024;0;0;
May 2024;1;0,0000036;
June 2024;6;0,0000241;
July 2024;2;0,0000079;
August 2024;3;0,0000095;
September 2024;0;0;
October 2024;0;0;
November 2024;0;0;
