Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Astrakhan Oblast, all devices
December 2017;1;0,0000031;
January 2018;2;0,0000066;
February 2018;3;0,0000093;
March 2018;1;0,0000035;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;1;0,0000038;
August 2018;2;0,0000066;
September 2018;2;0,0000058;
October 2018;3;0,0000094;
November 2018;0;0;
December 2018;2;0,0000059;
January 2019;0;0;
February 2019;0;0;
March 2019;30;0,0000935;
April 2019;5;0,0000164;
May 2019;0;0;
June 2019;0;0;
July 2019;2;0,0000075;
August 2019;3;0,0000098;
September 2019;0;0;
October 2019;7;0,0000203;
November 2019;1;0,0000026;
December 2019;0;0;
January 2020;0;0;
February 2020;2;0,0000051;
March 2020;0;0;
April 2020;0;0;
May 2020;2;0,0000054;
June 2020;2;0,0000060;
July 2020;3;0,0000091;
August 2020;0;0;
September 2020;2;0,0000045;
October 2020;2;0,0000044;
November 2020;4;0,0000090;
December 2020;1;0,0000023;
January 2021;4;0,0000098;
February 2021;1;0,0000023;
March 2021;4;0,0000091;
April 2021;32;0,0000734;
May 2021;8;0,0000189;
June 2021;5;0,0000132;
July 2021;1;0,0000026;
August 2021;2;0,0000045;
September 2021;10;0,0000208;
October 2021;0;0;
November 2021;0;0;
December 2021;5;0,0000098;
January 2022;1;0,0000019;
February 2022;0;0;
March 2022;19;0,0000373;
April 2022;20;0,0000389;
May 2022;22;0,0000480;
June 2022;25;0,0000569;
July 2022;0;0;
August 2022;5;0,0000099;
September 2022;1;0,0000018;
October 2022;1;0,0000018;
November 2022;3;0,0000050;
December 2022;5;0,0000090;
January 2023;10;0,0000194;
February 2023;3;0,0000055;
March 2023;8;0,0000154;
April 2023;0;0;
May 2023;1;0,0000022;
June 2023;4;0,0000091;
July 2023;0;0;
August 2023;1;0,0000020;
September 2023;1;0,0000018;
October 2023;1;0,0000018;
November 2023;8;0,0000148;
December 2023;0;0;
January 2024;0;0;
February 2024;0;0;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;2;0,0000047;
September 2024;4;0,0000083;
October 2024;7;0,0000141;
November 2024;0;0;
