Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Sverdlovsk Oblast, all devices
December 2017;214;0,0000814;
January 2018;223;0,0000828;
February 2018;195;0,0000673;
March 2018;176;0,0000660;
April 2018;175;0,0000687;
May 2018;136;0,0000589;
June 2018;160;0,0000712;
July 2018;194;0,0000841;
August 2018;184;0,0000700;
September 2018;345;0,0001039;
October 2018;419;0,0001383;
November 2018;309;0,0000997;
December 2018;280;0,0000864;
January 2019;265;0,0000867;
February 2019;213;0,0000660;
March 2019;163;0,0000522;
April 2019;212;0,0000709;
May 2019;172;0,0000627;
June 2019;253;0,0000943;
July 2019;114;0,0000423;
August 2019;187;0,0000644;
September 2019;107;0,0000336;
October 2019;132;0,0000412;
November 2019;114;0,0000348;
December 2019;124;0,0000376;
January 2020;119;0,0000369;
February 2020;97;0,0000279;
March 2020;111;0,0000260;
April 2020;191;0,0000532;
May 2020;244;0,0000806;
June 2020;123;0,0000432;
July 2020;45;0,0000151;
August 2020;66;0,0000183;
September 2020;143;0,0000356;
October 2020;303;0,0000689;
November 2020;98;0,0000231;
December 2020;59;0,0000156;
January 2021;81;0,0000230;
February 2021;145;0,0000396;
March 2021;166;0,0000473;
April 2021;82;0,0000261;
May 2021;131;0,0000426;
June 2021;77;0,0000241;
July 2021;68;0,0000211;
August 2021;51;0,0000150;
September 2021;98;0,0000271;
October 2021;223;0,0000585;
November 2021;91;0,0000245;
December 2021;46;0,0000128;
January 2022;93;0,0000257;
February 2022;85;0,0000222;
March 2022;95;0,0000260;
April 2022;42;0,0000115;
May 2022;34;0,0000102;
June 2022;63;0,0000201;
July 2022;65;0,0000199;
August 2022;60;0,0000167;
September 2022;26;0,0000067;
October 2022;93;0,0000236;
November 2022;52;0,0000130;
December 2022;30;0,0000078;
January 2023;102;0,0000291;
February 2023;50;0,0000130;
March 2023;27;0,0000074;
April 2023;19;0,0000054;
May 2023;25;0,0000078;
June 2023;46;0,0000150;
July 2023;67;0,0000215;
August 2023;63;0,0000188;
September 2023;45;0,0000119;
October 2023;31;0,0000083;
November 2023;28;0,0000073;
December 2023;31;0,0000083;
January 2024;19;0,0000054;
February 2024;42;0,0000115;
March 2024;38;0,0000109;
April 2024;52;0,0000152;
May 2024;24;0,0000081;
June 2024;22;0,0000075;
July 2024;48;0,0000165;
August 2024;23;0,0000073;
September 2024;93;0,0000253;
October 2024;51;0,0000137;
November 2024;23;0,0000060;
